layer,module,nbit1,gsize1,nbit2,gsize2,fnorm,memmb,params
0,self_attn.q_proj,2,32,8,128,33.875,20.0625,67108864
0,self_attn.q_proj,2,64,8,128,40.5625,18.03125,67108864
0,self_attn.q_proj,2,128,8,128,46.625,17.015625,67108864
0,self_attn.q_proj,3,32,8,128,14.78125,28.0625,67108864
0,self_attn.q_proj,3,64,8,128,18.09375,26.03125,67108864
0,self_attn.q_proj,3,128,8,128,21.5,25.015625,67108864
0,self_attn.q_proj,4,32,8,128,6.90234375,36.0625,67108864
0,self_attn.q_proj,4,64,8,128,8.453125,34.03125,67108864
0,self_attn.q_proj,4,128,8,128,10.09375,33.015625,67108864
0,self_attn.q_proj,8,32,8,128,0.41796875,68.0625,67108864
0,self_attn.q_proj,8,64,8,128,0.51171875,66.03125,67108864
0,self_attn.q_proj,8,128,8,128,0.609375,65.015625,67108864
0,self_attn.v_proj,2,32,8,128,9.8515625,2.5078125,8388608
0,self_attn.v_proj,2,64,8,128,11.765625,2.25390625,8388608
0,self_attn.v_proj,2,128,8,128,13.578125,2.126953125,8388608
0,self_attn.v_proj,3,32,8,128,4.21484375,3.5078125,8388608
0,self_attn.v_proj,3,64,8,128,5.05078125,3.25390625,8388608
0,self_attn.v_proj,3,128,8,128,5.8515625,3.126953125,8388608
0,self_attn.v_proj,4,32,8,128,1.9677734375,4.5078125,8388608
0,self_attn.v_proj,4,64,8,128,2.357421875,4.25390625,8388608
0,self_attn.v_proj,4,128,8,128,2.73046875,4.126953125,8388608
0,self_attn.v_proj,8,32,8,128,0.119140625,8.5078125,8388608
0,self_attn.v_proj,8,64,8,128,0.142578125,8.25390625,8388608
0,self_attn.v_proj,8,128,8,128,0.16455078125,8.126953125,8388608
0,self_attn.k_proj,2,32,8,128,27.875,2.5078125,8388608
0,self_attn.k_proj,2,64,8,128,33.96875,2.25390625,8388608
0,self_attn.k_proj,2,128,8,128,38.625,2.126953125,8388608
0,self_attn.k_proj,3,32,8,128,12.40625,3.5078125,8388608
0,self_attn.k_proj,3,64,8,128,16.21875,3.25390625,8388608
0,self_attn.k_proj,3,128,8,128,19.703125,3.126953125,8388608
0,self_attn.k_proj,4,32,8,128,5.79296875,4.5078125,8388608
