layer,module,nbit1,gsize1,nbit2,gsize2,fnorm,memmb,params
0,self_attn.q_proj,2,32,8,128,412.3119201660156,20.0625,67108864
0,self_attn.q_proj,2,64,8,128,494.06134033203125,18.03125,67108864
0,self_attn.q_proj,2,128,8,128,645.670654296875,17.015625,67108864
0,self_attn.q_proj,3,32,8,128,175.69534301757812,28.0625,67108864
0,self_attn.q_proj,3,64,8,128,217.89419555664062,26.03125,67108864
0,self_attn.q_proj,3,128,8,128,269.4341735839844,25.015625,67108864
0,self_attn.q_proj,4,32,8,128,83.59564208984375,36.0625,67108864
0,self_attn.q_proj,4,64,8,128,105.31353759765625,34.03125,67108864
0,self_attn.q_proj,4,128,8,128,130.7145233154297,33.015625,67108864
0,self_attn.q_proj,8,32,8,128,5.112150192260742,68.0625,67108864
0,self_attn.q_proj,8,64,8,128,6.596481800079346,66.03125,67108864
0,self_attn.q_proj,8,128,8,128,8.151016235351562,65.015625,67108864
0,self_attn.v_proj,2,32,8,128,552.514892578125,2.5078125,8388608
0,self_attn.v_proj,2,64,8,128,673.5861206054688,2.25390625,8388608
0,self_attn.v_proj,2,128,8,128,813.2427368164062,2.126953125,8388608
0,self_attn.v_proj,3,32,8,128,233.45310974121094,3.5078125,8388608
0,self_attn.v_proj,3,64,8,128,283.3836669921875,3.25390625,8388608
0,self_attn.v_proj,3,128,8,128,330.1102600097656,3.126953125,8388608
0,self_attn.v_proj,4,32,8,128,109.21837615966797,4.5078125,8388608
0,self_attn.v_proj,4,64,8,128,135.6373291015625,4.25390625,8388608
0,self_attn.v_proj,4,128,8,128,154.72120666503906,4.126953125,8388608
0,self_attn.v_proj,8,32,8,128,6.378791809082031,8.5078125,8388608
0,self_attn.v_proj,8,64,8,128,7.946229934692383,8.25390625,8388608
0,self_attn.v_proj,8,128,8,128,9.187578201293945,8.126953125,8388608
0,self_attn.k_proj,2,32,8,128,301.5050964355469,2.5078125,8388608
0,self_attn.k_proj,2,64,8,128,371.7862548828125,2.25390625,8388608
0,self_attn.k_proj,2,128,8,128,457.86767578125,2.126953125,8388608
0,self_attn.k_proj,3,32,8,128,111.52918243408203,3.5078125,8388608
0,self_attn.k_proj,3,64,8,128,152.079833984375,3.25390625,8388608
0,self_attn.k_proj,3,128,8,128,176.66111755371094,3.126953125,8388608
0,self_attn.k_proj,4,32,8,128,52.89655303955078,4.5078125,8388608
0,self_attn.k_proj,4,64,8,128,71.72728729248047,4.25390625,8388608
0,self_attn.k_proj,4,128,8,128,86.68524932861328,4.126953125,8388608
0,self_attn.k_proj,8,32,8,128,3.164714813232422,8.5078125,8388608
0,self_attn.k_proj,8,64,8,128,4.091573238372803,8.25390625,8388608
0,self_attn.k_proj,8,128,8,128,4.915741920471191,8.126953125,8388608
