part,model,layer,sensitivity
attn_in,Llama-2-7b-hf,0,3.5112520890834276e-07
attn_out,Llama-2-7b-hf,0,5.996923846396385e-07
mlp_gate,Llama-2-7b-hf,0,1.3132982701336005e-07
mlp_down,Llama-2-7b-hf,0,1.116492285291315e-06
attn_in,Llama-2-7b-hf,1,1.1230303016418475e-06
attn_out,Llama-2-7b-hf,1,1.9699409676832147e-06
mlp_gate,Llama-2-7b-hf,1,3.190103598171845e-05
mlp_down,Llama-2-7b-hf,1,0.01109052263200283
attn_in,Llama-2-7b-hf,2,4.232647825119784e-06
attn_out,Llama-2-7b-hf,2,1.6720242683732067e-06
mlp_gate,Llama-2-7b-hf,2,3.831796675513033e-06
mlp_down,Llama-2-7b-hf,2,5.077923560747877e-06
attn_in,Llama-2-7b-hf,3,8.20862169348402e-06
attn_out,Llama-2-7b-hf,3,3.2434377317258622e-06
mlp_gate,Llama-2-7b-hf,3,9.4121887741494e-06
mlp_down,Llama-2-7b-hf,3,9.163330105366185e-06
attn_in,Llama-2-7b-hf,4,1.840256118157413e-05
attn_out,Llama-2-7b-hf,4,6.374161330313655e-06
mlp_gate,Llama-2-7b-hf,4,1.8175354853156023e-05
mlp_down,Llama-2-7b-hf,4,2.3200484065455385e-05
attn_in,Llama-2-7b-hf,5,3.1707564630778506e-05
attn_out,Llama-2-7b-hf,5,1.2589415746333543e-05
mlp_gate,Llama-2-7b-hf,5,2.797519300656859e-05
mlp_down,Llama-2-7b-hf,5,2.4447845135000534e-05
attn_in,Llama-2-7b-hf,6,4.1241120925405994e-05
attn_out,Llama-2-7b-hf,6,1.534799230284989e-05
mlp_gate,Llama-2-7b-hf,6,4.1680410504341125e-05
mlp_down,Llama-2-7b-hf,6,3.688649303512648e-05
attn_in,Llama-2-7b-hf,7,5.036446964368224e-05
attn_out,Llama-2-7b-hf,7,2.1903808374190703e-05
mlp_gate,Llama-2-7b-hf,7,5.7778179325396195e-05
mlp_down,Llama-2-7b-hf,7,4.949917274643667e-05
attn_in,Llama-2-7b-hf,8,8.275920117739588e-05
attn_out,Llama-2-7b-hf,8,3.149401891278103e-05
mlp_gate,Llama-2-7b-hf,8,7.177540828706697e-05
mlp_down,Llama-2-7b-hf,8,6.067876165616326e-05
attn_in,Llama-2-7b-hf,9,0.00012172867718618363
attn_out,Llama-2-7b-hf,9,4.24713252868969e-05
mlp_gate,Llama-2-7b-hf,9,8.42771987663582e-05
mlp_down,Llama-2-7b-hf,9,6.981325714150444e-05
attn_in,Llama-2-7b-hf,10,0.00012341282854322344
attn_out,Llama-2-7b-hf,10,5.917765520280227e-05
mlp_gate,Llama-2-7b-hf,10,9.913711255649105e-05
mlp_down,Llama-2-7b-hf,10,8.062620327109471e-05
attn_in,Llama-2-7b-hf,11,0.00014837335038464516
attn_out,Llama-2-7b-hf,11,6.026827759342268e-05
mlp_gate,Llama-2-7b-hf,11,0.00011187846394022927
mlp_down,Llama-2-7b-hf,11,9.217795013682917e-05
attn_in,Llama-2-7b-hf,12,0.0001613202621228993
attn_out,Llama-2-7b-hf,12,7.075531175360084e-05
mlp_gate,Llama-2-7b-hf,12,0.0001263067970285192
mlp_down,Llama-2-7b-hf,12,0.00010519409261178225
attn_in,Llama-2-7b-hf,13,0.0001523020473541692
attn_out,Llama-2-7b-hf,13,7.67381425248459e-05
mlp_gate,Llama-2-7b-hf,13,0.00015027161862235516
mlp_down,Llama-2-7b-hf,13,0.00012898707063868642
attn_in,Llama-2-7b-hf,14,0.00017738113820087165
attn_out,Llama-2-7b-hf,14,8.662589243613183e-05
mlp_gate,Llama-2-7b-hf,14,0.00016938253247644752
mlp_down,Llama-2-7b-hf,14,0.00015278153296094388
attn_in,Llama-2-7b-hf,15,0.00019123419770039618
attn_out,Llama-2-7b-hf,15,9.319519449491054e-05
mlp_gate,Llama-2-7b-hf,15,0.0002099390549119562
mlp_down,Llama-2-7b-hf,15,0.000192236591828987
attn_in,Llama-2-7b-hf,16,0.00022740692656952888
attn_out,Llama-2-7b-hf,16,0.00013398118608165532
mlp_gate,Llama-2-7b-hf,16,0.0002720398479141295
mlp_down,Llama-2-7b-hf,16,0.0002808569115586579
attn_in,Llama-2-7b-hf,17,0.00018193048890680075
attn_out,Llama-2-7b-hf,17,9.519917512079701e-05
mlp_gate,Llama-2-7b-hf,17,0.00030208012321963906
mlp_down,Llama-2-7b-hf,17,0.00029216750408522785
attn_in,Llama-2-7b-hf,18,0.00019963789964094758
attn_out,Llama-2-7b-hf,18,0.00011155115498695523
mlp_gate,Llama-2-7b-hf,18,0.00035903716343455017
mlp_down,Llama-2-7b-hf,18,0.0003533831622917205
attn_in,Llama-2-7b-hf,19,0.00016247964231297374
attn_out,Llama-2-7b-hf,19,9.622184006730095e-05
mlp_gate,Llama-2-7b-hf,19,0.00041256987606175244
mlp_down,Llama-2-7b-hf,19,0.00039766280679032207
attn_in,Llama-2-7b-hf,20,0.00019958704069722444
attn_out,Llama-2-7b-hf,20,0.00011364324745954946
mlp_gate,Llama-2-7b-hf,20,0.00048459292156621814
mlp_down,Llama-2-7b-hf,20,0.00048140791477635503
attn_in,Llama-2-7b-hf,21,0.0001697187835816294
attn_out,Llama-2-7b-hf,21,0.00010500274220248684
mlp_gate,Llama-2-7b-hf,21,0.0005333480658009648
mlp_down,Llama-2-7b-hf,21,0.00048393046017736197
attn_in,Llama-2-7b-hf,22,0.0002710487460717559
attn_out,Llama-2-7b-hf,22,0.000131516411784105
mlp_gate,Llama-2-7b-hf,22,0.000608640955761075
mlp_down,Llama-2-7b-hf,22,0.0005396594642661512
attn_in,Llama-2-7b-hf,23,0.00022279600671026856
attn_out,Llama-2-7b-hf,23,0.00011295548756606877
mlp_gate,Llama-2-7b-hf,23,0.000679080665577203
mlp_down,Llama-2-7b-hf,23,0.0005731675773859024
attn_in,Llama-2-7b-hf,24,0.0002745922247413546
attn_out,Llama-2-7b-hf,24,0.00014576167450286448
mlp_gate,Llama-2-7b-hf,24,0.0007426660740748048
mlp_down,Llama-2-7b-hf,24,0.0005940698902122676
attn_in,Llama-2-7b-hf,25,0.0002396950585534796
attn_out,Llama-2-7b-hf,25,0.00011872268805745989
mlp_gate,Llama-2-7b-hf,25,0.0008360930369235575
mlp_down,Llama-2-7b-hf,25,0.0006420676363632083
attn_in,Llama-2-7b-hf,26,0.000393207767046988
attn_out,Llama-2-7b-hf,26,0.00020280107855796814
mlp_gate,Llama-2-7b-hf,26,0.000938576296903193
mlp_down,Llama-2-7b-hf,26,0.0006941358442418277
attn_in,Llama-2-7b-hf,27,0.00031607458367943764
attn_out,Llama-2-7b-hf,27,0.00018604610522743315
mlp_gate,Llama-2-7b-hf,27,0.0010777750285342336
mlp_down,Llama-2-7b-hf,27,0.0008032343466766179
attn_in,Llama-2-7b-hf,28,0.0003718503867276013
attn_out,Llama-2-7b-hf,28,0.0002210345701314509
mlp_gate,Llama-2-7b-hf,28,0.0012836423702538013
mlp_down,Llama-2-7b-hf,28,0.0010198998497799039
attn_in,Llama-2-7b-hf,29,0.00039460937841795385
attn_out,Llama-2-7b-hf,29,0.00022196362260729074
mlp_gate,Llama-2-7b-hf,29,0.0015612951247021556
mlp_down,Llama-2-7b-hf,29,0.001442722394131124
attn_in,Llama-2-7b-hf,30,0.00044782337499782443
attn_out,Llama-2-7b-hf,30,0.00029881519731134176
mlp_gate,Llama-2-7b-hf,30,0.0025908066891133785
mlp_down,Llama-2-7b-hf,30,0.006203715689480305
attn_in,Llama-2-7b-hf,31,0.0020526100415736437
attn_out,Llama-2-7b-hf,31,0.00040688703302294016
mlp_gate,Llama-2-7b-hf,31,0.0053017633035779
mlp_down,Llama-2-7b-hf,31,0.01145612820982933
attn_in,Meta-Llama-3-8B,0,2.3504355795012088e-07
mlp_gate,Meta-Llama-3-8B,0,3.8732471807634283e-07
mlp_down,Meta-Llama-3-8B,0,1.022435526465415e-06
attn_in,Meta-Llama-3-8B,1,3.939759949389554e-07
mlp_gate,Meta-Llama-3-8B,1,1.5860730400163447e-06
mlp_down,Meta-Llama-3-8B,1,2.590278563729953e-05
attn_in,Meta-Llama-3-8B,2,9.326020631306164e-07
mlp_gate,Meta-Llama-3-8B,2,1.9166438960382948e-06
mlp_down,Meta-Llama-3-8B,2,1.924652906382107e-06
attn_in,Meta-Llama-3-8B,3,1.5665997352698469e-06
mlp_gate,Meta-Llama-3-8B,3,4.331189757067477e-06
mlp_down,Meta-Llama-3-8B,3,3.6192425341141643e-06
attn_in,Meta-Llama-3-8B,4,3.732759296326549e-06
mlp_gate,Meta-Llama-3-8B,4,7.5180246312811505e-06
mlp_down,Meta-Llama-3-8B,4,6.131288046162808e-06
attn_in,Meta-Llama-3-8B,5,5.492578566190787e-06
mlp_gate,Meta-Llama-3-8B,5,1.0729807399911806e-05
mlp_down,Meta-Llama-3-8B,5,9.16959106689319e-06
attn_in,Meta-Llama-3-8B,6,6.826936896686675e-06
mlp_gate,Meta-Llama-3-8B,6,1.3640113138535526e-05
mlp_down,Meta-Llama-3-8B,6,1.119308035413269e-05
attn_in,Meta-Llama-3-8B,7,8.94385993888136e-06
mlp_gate,Meta-Llama-3-8B,7,1.5917512428131886e-05
mlp_down,Meta-Llama-3-8B,7,1.246558895218186e-05
attn_in,Meta-Llama-3-8B,8,1.259053260582732e-05
mlp_gate,Meta-Llama-3-8B,8,1.736560807330534e-05
mlp_down,Meta-Llama-3-8B,8,1.3630980902235024e-05
attn_in,Meta-Llama-3-8B,9,1.545005761727225e-05
mlp_gate,Meta-Llama-3-8B,9,1.9692888599820435e-05
mlp_down,Meta-Llama-3-8B,9,1.5630836060154252e-05
attn_in,Meta-Llama-3-8B,10,1.5661613360862248e-05
mlp_gate,Meta-Llama-3-8B,10,2.0056813809787855e-05
mlp_down,Meta-Llama-3-8B,10,1.642370261834003e-05
attn_in,Meta-Llama-3-8B,11,1.598008384462446e-05
mlp_gate,Meta-Llama-3-8B,11,2.1369023670558818e-05
