dataset,part,model,nbits,group_size,layer,sensitivity
bos,attn_in,Ministral-8B-Instruct-2410,2,128,0,1.738392256811494e-6
bos,mlp_gate,Ministral-8B-Instruct-2410,2,128,0,2.5007229851325974e-5
bos,mlp_down,Ministral-8B-Instruct-2410,2,128,0,2.7288702767691575e-5
bos,attn_in,Ministral-8B-Instruct-2410,2,128,1,8.289020115626045e-6
bos,mlp_gate,Ministral-8B-Instruct-2410,2,128,1,1.32139593915781e-5
bos,mlp_down,Ministral-8B-Instruct-2410,2,128,1,1.629203325137496e-5
bos,attn_in,Ministral-8B-Instruct-2410,2,128,2,5.696893640561029e-5
bos,mlp_gate,Ministral-8B-Instruct-2410,2,128,2,1.242599100805819e-4
bos,mlp_down,Ministral-8B-Instruct-2410,2,128,2,1.5219926717691123e-4
bos,attn_in,Ministral-8B-Instruct-2410,2,128,3,2.9438875571941026e-5
bos,mlp_gate,Ministral-8B-Instruct-2410,2,128,3,6.893047975609079e-5
bos,mlp_down,Ministral-8B-Instruct-2410,2,128,3,6.869842036394402e-5
bos,attn_in,Ministral-8B-Instruct-2410,2,128,4,8.744476508582011e-5
bos,mlp_gate,Ministral-8B-Instruct-2410,2,128,4,1.2462621089071035e-4
bos,mlp_down,Ministral-8B-Instruct-2410,2,128,4,1.1179599823663011e-4
bos,attn_in,Ministral-8B-Instruct-2410,2,128,5,1.9410511595197022e-4
bos,mlp_gate,Ministral-8B-Instruct-2410,2,128,5,1.8342610565014184e-4
bos,mlp_down,Ministral-8B-Instruct-2410,2,128,5,1.6065433737821877e-4
bos,attn_in,Ministral-8B-Instruct-2410,2,128,6,2.1711911540478468e-4
bos,mlp_gate,Ministral-8B-Instruct-2410,2,128,6,2.3023251560516655e-4
bos,mlp_down,Ministral-8B-Instruct-2410,2,128,6,1.8776855722535402e-4
bos,attn_in,Ministral-8B-Instruct-2410,2,128,7,1.4745534281246364e-4
bos,mlp_gate,Ministral-8B-Instruct-2410,2,128,7,2.535407547838986e-4
bos,mlp_down,Ministral-8B-Instruct-2410,2,128,7,1.9368482753634453e-4
bos,attn_in,Ministral-8B-Instruct-2410,2,128,8,2.91793403448537e-4
bos,mlp_gate,Ministral-8B-Instruct-2410,2,128,8,3.0052789952605963e-4
bos,mlp_down,Ministral-8B-Instruct-2410,2,128,8,2.378048375248909e-4
bos,attn_in,Ministral-8B-Instruct-2410,2,128,9,3.6878284299746156e-4
bos,mlp_gate,Ministral-8B-Instruct-2410,2,128,9,3.3155217533931136e-4
bos,mlp_down,Ministral-8B-Instruct-2410,2,128,9,2.561162691563368e-4
bos,attn_in,Ministral-8B-Instruct-2410,2,128,10,3.5083264810964465e-4
bos,mlp_gate,Ministral-8B-Instruct-2410,2,128,10,3.6941590951755643e-4
bos,mlp_down,Ministral-8B-Instruct-2410,2,128,10,3.102585906162858e-4
bos,attn_in,Ministral-8B-Instruct-2410,2,128,11,2.8945141821168363e-4
bos,mlp_gate,Ministral-8B-Instruct-2410,2,128,11,3.8492263411171734e-4
bos,mlp_down,Ministral-8B-Instruct-2410,2,128,11,2.675879222806543e-4
bos,attn_in,Ministral-8B-Instruct-2410,2,128,12,1.7512474732939154e-4
bos,mlp_gate,Ministral-8B-Instruct-2410,2,128,12,3.7998880725353956e-4
bos,mlp_down,Ministral-8B-Instruct-2410,2,128,12,2.786457189358771e-4
bos,attn_in,Ministral-8B-Instruct-2410,2,128,13,2.7877799584530294e-4
bos,mlp_gate,Ministral-8B-Instruct-2410,2,128,13,3.856754337903112e-4
bos,mlp_down,Ministral-8B-Instruct-2410,2,128,13,2.771880244836211e-4
bos,attn_in,Ministral-8B-Instruct-2410,2,128,14,3.615377936512232e-4
bos,mlp_gate,Ministral-8B-Instruct-2410,2,128,14,4.509668506216258e-4
bos,mlp_down,Ministral-8B-Instruct-2410,2,128,14,3.4028125810436904e-4
bos,attn_in,Ministral-8B-Instruct-2410,2,128,15,4.5085803139954805e-4
bos,mlp_gate,Ministral-8B-Instruct-2410,2,128,15,5.812048329971731e-4
bos,mlp_down,Ministral-8B-Instruct-2410,2,128,15,4.285574541427195e-4
bos,attn_in,Ministral-8B-Instruct-2410,2,128,16,3.814264200627804e-4
bos,mlp_gate,Ministral-8B-Instruct-2410,2,128,16,6.296423962339759e-4
bos,mlp_down,Ministral-8B-Instruct-2410,2,128,16,4.8544362653046846e-4
bos,attn_in,Ministral-8B-Instruct-2410,2,128,17,4.1649333434179425e-4
bos,mlp_gate,Ministral-8B-Instruct-2410,2,128,17,6.517576985061169e-4
bos,mlp_down,Ministral-8B-Instruct-2410,2,128,17,5.253713461570442e-4
bos,attn_in,Ministral-8B-Instruct-2410,2,128,18,3.055987472180277e-4
bos,mlp_gate,Ministral-8B-Instruct-2410,2,128,18,6.765503785572946e-4
bos,mlp_down,Ministral-8B-Instruct-2410,2,128,18,5.828194553032517e-4
bos,attn_in,Ministral-8B-Instruct-2410,2,128,19,2.8189297881908715e-4
bos,mlp_gate,Ministral-8B-Instruct-2410,2,128,19,7.032454595901072e-4
bos,mlp_down,Ministral-8B-Instruct-2410,2,128,19,5.837850621901453e-4
bos,attn_in,Ministral-8B-Instruct-2410,2,128,20,4.5448142918758094e-4
bos,mlp_gate,Ministral-8B-Instruct-2410,2,128,20,7.961713126860559e-4
bos,mlp_down,Ministral-8B-Instruct-2410,2,128,20,6.675203912891448e-4
bos,attn_in,Ministral-8B-Instruct-2410,2,128,21,3.280795062892139e-4
bos,mlp_gate,Ministral-8B-Instruct-2410,2,128,21,9.422495495527983e-4
bos,mlp_down,Ministral-8B-Instruct-2410,2,128,21,7.721359725110233e-4
bos,attn_in,Ministral-8B-Instruct-2410,2,128,22,6.686548586003482e-4
bos,mlp_gate,Ministral-8B-Instruct-2410,2,128,22,0.0010295589454472065
bos,mlp_down,Ministral-8B-Instruct-2410,2,128,22,8.564175805076957e-4
bos,attn_in,Ministral-8B-Instruct-2410,2,128,23,2.9971826006658375e-4
bos,mlp_gate,Ministral-8B-Instruct-2410,2,128,23,0.0010677831014618278
bos,mlp_down,Ministral-8B-Instruct-2410,2,128,23,7.856100564822555e-4
bos,attn_in,Ministral-8B-Instruct-2410,2,128,24,2.4447363102808595e-4
bos,mlp_gate,Ministral-8B-Instruct-2410,2,128,24,0.0011471102479845285
bos,mlp_down,Ministral-8B-Instruct-2410,2,128,24,8.347477414645255e-4
bos,attn_in,Ministral-8B-Instruct-2410,2,128,25,6.134480354376137e-4
bos,mlp_gate,Ministral-8B-Instruct-2410,2,128,25,0.0012456338154152036
bos,mlp_down,Ministral-8B-Instruct-2410,2,128,25,8.96323355846107e-4
bos,attn_in,Ministral-8B-Instruct-2410,2,128,26,5.067887832410634e-4
bos,mlp_gate,Ministral-8B-Instruct-2410,2,128,26,0.0013889537658542395
bos,mlp_down,Ministral-8B-Instruct-2410,2,128,26,9.352038032375276e-4
