model,bpp,fnorm
Llama-2-7b-hf,6.03,838.784423828125
Llama-2-7b-hf,6.05,831.711669921875
Llama-2-7b-hf,6.07,824.296142578125
Llama-2-7b-hf,6.09,816.929443359375
Llama-2-7b-hf,6.11,809.855224609375
Llama-2-7b-hf,6.13,802.642333984375
Llama-2-7b-hf,6.15,795.53515625
Llama-2-7b-hf,6.17,788.251708984375
Llama-2-7b-hf,6.19,781.0153808593748
Llama-2-7b-hf,6.21,773.908447265625
Llama-2-7b-hf,6.23,766.845458984375
Llama-2-7b-hf,6.25,759.7265625
Llama-2-7b-hf,6.27,752.3249511718737
Llama-2-7b-hf,6.29,745.183349609375
Llama-2-7b-hf,6.31,738.269775390625
Llama-2-7b-hf,6.33,731.17431640625
Llama-2-7b-hf,6.35,724.0532226562499
Llama-2-7b-hf,6.37,716.830810546875
Llama-2-7b-hf,6.39,709.690185546875
Llama-2-7b-hf,6.41,702.897705078125
Llama-2-7b-hf,6.43,695.8203125
Llama-2-7b-hf,6.45,688.8173828125
Llama-2-7b-hf,6.47,681.587158203125
Llama-2-7b-hf,6.49,674.791748046875
Llama-2-7b-hf,6.51,668.034912109375
Llama-2-7b-hf,6.53,660.943359375
Llama-2-7b-hf,6.55,654.18359375
Llama-2-7b-hf,6.57,647.081787109375
Llama-2-7b-hf,6.59,640.416259765625
Llama-2-7b-hf,6.61,633.7275390624992
Llama-2-7b-hf,6.63,626.73046875
Llama-2-7b-hf,6.65,619.860595703125
Llama-2-7b-hf,6.68,609.66552734375
Llama-2-7b-hf,6.69,606.435791015625
Llama-2-7b-hf,4.61,1603.86083984375
Llama-2-7b-hf,4.59,1619.7236328125
Llama-2-7b-hf,4.57,1635.89453125
Llama-2-7b-hf,4.55,1652.240234375
Llama-2-7b-hf,4.53,1668.70703125
Llama-2-7b-hf,4.51,1685.4072265624993
Llama-2-7b-hf,4.49,1702.3530273437495
Llama-2-7b-hf,4.47,1719.3588867187489
Llama-2-7b-hf,4.45,1736.56201171875
Llama-2-7b-hf,4.43,1754.02099609375
Llama-2-7b-hf,4.41,1772.16796875
Llama-2-7b-hf,4.35,1830.1640625
Llama-2-7b-hf,4.33,1851.517578125
Llama-2-7b-hf,4.31,1875.5625
Llama-2-7b-hf,4.29,1904.355468750003
Llama-2-7b-hf,4.27,1934.5625
Llama-2-7b-hf,4.25,1965.41015625
Llama-2-7b-hf,4.23,1996.77734375
Llama-2-7b-hf,4.21,2029.41796875
Llama-2-7b-hf,4.19,2062.7109375
Llama-2-7b-hf,4.17,2095.968749999994
Llama-2-7b-hf,4.15,2129.56640625
Llama-2-7b-hf,4.13,2163.5703125
Llama-2-7b-hf,4.11,2197.890625
Llama-2-7b-hf,4.09,2232.75
Llama-2-7b-hf,4.07,2267.7265625
Llama-2-7b-hf,4.05,2302.796875
Llama-2-7b-hf,4.03,2337.94921875
Llama-2-7b-hf,3.57,3203.51171875
Llama-2-7b-hf,3.55,3248.2265625
Llama-2-7b-hf,3.53,3294.2851562499995
Llama-2-7b-hf,3.51,3342.7109375
Llama-2-7b-hf,3.49,3393.7734375
Llama-2-7b-hf,3.47,3447.28125
Llama-2-7b-hf,3.45,3505.0234374999995
Llama-2-7b-hf,3.31,3968.9921875
Llama-2-7b-hf,3.29,4041.953125
Llama-2-7b-hf,3.27,4117.640625
Llama-2-7b-hf,3.25,4195.6015625
Llama-2-7b-hf,3.23,4275.1328125
Llama-2-7b-hf,3.21,4355.90625
Llama-2-7b-hf,3.19,4438.53125
Llama-2-7b-hf,3.17,4523.125
Llama-2-7b-hf,3.15,4608.875
Llama-2-7b-hf,3.13,4694.765625
Llama-2-7b-hf,3.11,4781.3671875
Llama-2-7b-hf,3.09,4868.1328125
