quant_method,dataset,part,model,nbits,group_size,layer,sensitivity
hqq,bos,attn_in,Llama-2-7b-hf,3,128,0,2.73835667030653e-6
hqq,bos,attn_out,Llama-2-7b-hf,3,128,0,3.840630142804002e-6
hqq,bos,mlp_gate,Llama-2-7b-hf,3,128,0,8.850437325236271e-7
hqq,bos,mlp_down,Llama-2-7b-hf,3,128,0,9.688127647677902e-6
hqq,bos,attn_in,Llama-2-7b-hf,3,128,1,8.682131010573357e-6
hqq,bos,attn_out,Llama-2-7b-hf,3,128,1,1.9117456758976914e-5
hqq,bos,mlp_gate,Llama-2-7b-hf,3,128,1,6.662923260591924e-4
hqq,bos,mlp_down,Llama-2-7b-hf,3,128,1,0.08976828306913376
hqq,bos,attn_in,Llama-2-7b-hf,3,128,2,1.2394343684718478e-5
hqq,bos,attn_out,Llama-2-7b-hf,3,128,2,7.926881153252907e-6
hqq,bos,mlp_gate,Llama-2-7b-hf,3,128,2,1.8418037143419497e-5
hqq,bos,mlp_down,Llama-2-7b-hf,3,128,2,2.707335261220578e-5
hqq,bos,attn_in,Llama-2-7b-hf,3,128,3,4.476470348890871e-5
hqq,bos,attn_out,Llama-2-7b-hf,3,128,3,1.7453541659051552e-5
hqq,bos,mlp_gate,Llama-2-7b-hf,3,128,3,4.4400021579349414e-5
hqq,bos,mlp_down,Llama-2-7b-hf,3,128,3,4.4094274926465005e-5
hqq,bos,attn_in,Llama-2-7b-hf,3,128,4,1.0556016786722466e-4
hqq,bos,attn_out,Llama-2-7b-hf,3,128,4,3.54753719875589e-5
hqq,bos,mlp_gate,Llama-2-7b-hf,3,128,4,9.480739390710369e-5
hqq,bos,mlp_down,Llama-2-7b-hf,3,128,4,1.9506811804603785e-4
hqq,bos,attn_in,Llama-2-7b-hf,3,128,5,1.9109764252789319e-4
hqq,bos,attn_out,Llama-2-7b-hf,3,128,5,6.963877967791632e-5
hqq,bos,mlp_gate,Llama-2-7b-hf,3,128,5,1.5185310621745884e-4
hqq,bos,mlp_down,Llama-2-7b-hf,3,128,5,1.3681808195542544e-4
hqq,bos,attn_in,Llama-2-7b-hf,3,128,6,1.9607233116403222e-4
hqq,bos,attn_out,Llama-2-7b-hf,3,128,6,7.712444494245574e-5
hqq,bos,mlp_gate,Llama-2-7b-hf,3,128,6,2.2472479031421244e-4
hqq,bos,mlp_down,Llama-2-7b-hf,3,128,6,1.9433209672570229e-4
hqq,bos,attn_in,Llama-2-7b-hf,3,128,7,3.006511542480439e-4
