dataset,part,model,nbits,group_size,layer,sensitivity
bos,attn_in,Qwen2.5-7B,2,128,0,0.0018168851966038346
bos,mlp_gate,Qwen2.5-7B,2,128,0,0.0013336158590391278
bos,mlp_down,Qwen2.5-7B,2,128,0,0.0036544562317430973
bos,attn_in,Qwen2.5-7B,2,128,1,0.0013171093305572867
bos,mlp_gate,Qwen2.5-7B,2,128,1,0.0027802065014839172
bos,mlp_down,Qwen2.5-7B,2,128,1,0.004155314527451992
bos,attn_in,Qwen2.5-7B,2,128,2,0.0015358468517661095
bos,mlp_gate,Qwen2.5-7B,2,128,2,0.006869048345834017
bos,mlp_down,Qwen2.5-7B,2,128,2,0.005861340090632439
bos,attn_in,Qwen2.5-7B,2,128,3,0.004299116786569357
bos,mlp_gate,Qwen2.5-7B,2,128,3,0.25206270813941956
bos,mlp_down,Qwen2.5-7B,2,128,3,0.2673908472061157
bos,attn_in,Qwen2.5-7B,2,128,4,0.005415088497102261
bos,mlp_gate,Qwen2.5-7B,2,128,4,0.010997998528182507
bos,mlp_down,Qwen2.5-7B,2,128,4,0.09055005759000778
bos,attn_in,Qwen2.5-7B,2,128,5,0.00692847091704607
bos,mlp_gate,Qwen2.5-7B,2,128,5,0.010439411737024784
bos,mlp_down,Qwen2.5-7B,2,128,5,0.007850813679397106
bos,attn_in,Qwen2.5-7B,2,128,6,0.014502514153718948
bos,mlp_gate,Qwen2.5-7B,2,128,6,0.025265933945775032
bos,mlp_down,Qwen2.5-7B,2,128,6,0.01581386849284172
bos,attn_in,Qwen2.5-7B,2,128,7,0.01306965108960867
bos,mlp_gate,Qwen2.5-7B,2,128,7,0.028732208535075188
bos,mlp_down,Qwen2.5-7B,2,128,7,0.029741741716861725
bos,attn_in,Qwen2.5-7B,2,128,8,0.023482006043195724
bos,mlp_gate,Qwen2.5-7B,2,128,8,0.033201854676008224
bos,mlp_down,Qwen2.5-7B,2,128,8,0.028394119814038277
bos,attn_in,Qwen2.5-7B,2,128,9,0.028529448434710503
bos,mlp_gate,Qwen2.5-7B,2,128,9,0.0358426496386528
bos,mlp_down,Qwen2.5-7B,2,128,9,0.029863711446523666
bos,attn_in,Qwen2.5-7B,2,128,10,0.026109475642442703
bos,mlp_gate,Qwen2.5-7B,2,128,10,0.031165774911642075
bos,mlp_down,Qwen2.5-7B,2,128,10,0.025982607156038284
bos,attn_in,Qwen2.5-7B,2,128,11,0.01526537723839283
bos,mlp_gate,Qwen2.5-7B,2,128,11,0.028517933562397957
bos,mlp_down,Qwen2.5-7B,2,128,11,0.02226010151207447
bos,attn_in,Qwen2.5-7B,2,128,12,0.014263564720749855
bos,mlp_gate,Qwen2.5-7B,2,128,12,0.027189915999770164
bos,mlp_down,Qwen2.5-7B,2,128,12,0.02092699520289898
bos,attn_in,Qwen2.5-7B,2,128,13,0.018321406096220016
bos,mlp_gate,Qwen2.5-7B,2,128,13,0.028444191440939903
bos,mlp_down,Qwen2.5-7B,2,128,13,0.021699896082282066
bos,attn_in,Qwen2.5-7B,2,128,14,0.030890902504324913
bos,mlp_gate,Qwen2.5-7B,2,128,14,0.03119099885225296
bos,mlp_down,Qwen2.5-7B,2,128,14,0.02390947751700878
bos,attn_in,Qwen2.5-7B,2,128,15,0.022862687706947327
bos,mlp_gate,Qwen2.5-7B,2,128,15,0.03097636252641678
bos,mlp_down,Qwen2.5-7B,2,128,15,0.021816112101078033
bos,attn_in,Qwen2.5-7B,2,128,16,0.01706748455762863
