dataset,part,model,nbits,group_size,layer,sensitivity
bos,attn_in,Meta-Llama-3-8B,3,128,0,1.2809317695428035e-06
bos,mlp_gate,Meta-Llama-3-8B,3,128,0,1.9694596176123014e-06
bos,mlp_down,Meta-Llama-3-8B,3,128,0,6.231221505004214e-06
bos,attn_in,Meta-Llama-3-8B,3,128,1,2.2156871182232862e-06
bos,mlp_gate,Meta-Llama-3-8B,3,128,1,0.00020809585112147033
bos,mlp_down,Meta-Llama-3-8B,3,128,1,0.0003559531469363719
bos,attn_in,Meta-Llama-3-8B,3,128,2,4.773306955030421e-06
bos,mlp_gate,Meta-Llama-3-8B,3,128,2,1.0445254702062812e-05
bos,mlp_down,Meta-Llama-3-8B,3,128,2,1.206344040838303e-05
bos,attn_in,Meta-Llama-3-8B,3,128,3,9.424134987057187e-06
bos,mlp_gate,Meta-Llama-3-8B,3,128,3,2.34008657571394e-05
bos,mlp_down,Meta-Llama-3-8B,3,128,3,2.0497380319284275e-05
bos,attn_in,Meta-Llama-3-8B,3,128,4,2.6734651328297332e-05
bos,mlp_gate,Meta-Llama-3-8B,3,128,4,4.3080031900899485e-05
bos,mlp_down,Meta-Llama-3-8B,3,128,4,3.453273529885337e-05
bos,attn_in,Meta-Llama-3-8B,3,128,5,3.1230661988956854e-05
bos,mlp_gate,Meta-Llama-3-8B,3,128,5,6.160275370348245e-05
bos,mlp_down,Meta-Llama-3-8B,3,128,5,5.269831672194414e-05
bos,attn_in,Meta-Llama-3-8B,3,128,6,3.982872294727713e-05
bos,mlp_gate,Meta-Llama-3-8B,3,128,6,7.863294740673155e-05
bos,mlp_down,Meta-Llama-3-8B,3,128,6,6.0887792642461136e-05
bos,attn_in,Meta-Llama-3-8B,3,128,7,5.6639382819412276e-05
bos,mlp_gate,Meta-Llama-3-8B,3,128,7,9.334269270766526e-05
bos,mlp_down,Meta-Llama-3-8B,3,128,7,6.813745858380571e-05
bos,attn_in,Meta-Llama-3-8B,3,128,8,6.160918565001339e-05
bos,mlp_gate,Meta-Llama-3-8B,3,128,8,9.90035550785251e-05
bos,mlp_down,Meta-Llama-3-8B,3,128,8,7.137364445952699e-05
bos,attn_in,Meta-Llama-3-8B,3,128,9,8.304827497340739e-05
bos,mlp_gate,Meta-Llama-3-8B,3,128,9,0.00011103415454272181
bos,mlp_down,Meta-Llama-3-8B,3,128,9,8.789067214820534e-05
bos,attn_in,Meta-Llama-3-8B,3,128,10,8.769449777901173e-05
bos,mlp_gate,Meta-Llama-3-8B,3,128,10,0.00011096353409811854
bos,mlp_down,Meta-Llama-3-8B,3,128,10,9.026900079334155e-05
bos,attn_in,Meta-Llama-3-8B,3,128,11,9.037678682943806e-05
bos,mlp_gate,Meta-Llama-3-8B,3,128,11,0.00012289750156924129
bos,mlp_down,Meta-Llama-3-8B,3,128,11,9.908733773045242e-05
bos,attn_in,Meta-Llama-3-8B,3,128,12,9.777367813512683e-05
bos,mlp_gate,Meta-Llama-3-8B,3,128,12,0.00014699636085424572
bos,mlp_down,Meta-Llama-3-8B,3,128,12,0.0001017166068777442
bos,attn_in,Meta-Llama-3-8B,3,128,13,0.0001277398259844631
bos,mlp_gate,Meta-Llama-3-8B,3,128,13,0.00016857587615959346
bos,mlp_down,Meta-Llama-3-8B,3,128,13,0.00012240598152857274
bos,attn_in,Meta-Llama-3-8B,3,128,14,0.00017067778389900923
bos,mlp_gate,Meta-Llama-3-8B,3,128,14,0.0002020332176471129
bos,mlp_down,Meta-Llama-3-8B,3,128,14,0.00013626871805172414
bos,attn_in,Meta-Llama-3-8B,3,128,15,0.00013136088091414422
bos,mlp_gate,Meta-Llama-3-8B,3,128,15,0.00023144336591940373
bos,mlp_down,Meta-Llama-3-8B,3,128,15,0.0001923721720231697
bos,attn_in,Meta-Llama-3-8B,3,128,16,0.00013347287313081324
bos,mlp_gate,Meta-Llama-3-8B,3,128,16,0.00023289445380214602
bos,mlp_down,Meta-Llama-3-8B,3,128,16,0.00019045290537178516
bos,attn_in,Meta-Llama-3-8B,3,128,17,0.00011744799121515825
bos,mlp_gate,Meta-Llama-3-8B,3,128,17,0.00026594861992634833
bos,mlp_down,Meta-Llama-3-8B,3,128,17,0.00022226023429539055
bos,attn_in,Meta-Llama-3-8B,3,128,18,8.003530092537403e-05
bos,mlp_gate,Meta-Llama-3-8B,3,128,18,0.0002555751125328243
bos,mlp_down,Meta-Llama-3-8B,3,128,18,0.00021271841251291335
bos,attn_in,Meta-Llama-3-8B,3,128,19,8.204780169762671e-05
bos,mlp_gate,Meta-Llama-3-8B,3,128,19,0.0002701403573155403
bos,mlp_down,Meta-Llama-3-8B,3,128,19,0.00020997165120206773
bos,attn_in,Meta-Llama-3-8B,3,128,20,7.314753020182252e-05
bos,mlp_gate,Meta-Llama-3-8B,3,128,20,0.000292132404865697
bos,mlp_down,Meta-Llama-3-8B,3,128,20,0.00023552007041871548
bos,attn_in,Meta-Llama-3-8B,3,128,21,0.0001119826702051796
bos,mlp_gate,Meta-Llama-3-8B,3,128,21,0.0003438495041336864
bos,mlp_down,Meta-Llama-3-8B,3,128,21,0.0002731531858444214
bos,attn_in,Meta-Llama-3-8B,3,128,22,9.592541755409911e-05
bos,mlp_gate,Meta-Llama-3-8B,3,128,22,0.00035826038219965994
bos,mlp_down,Meta-Llama-3-8B,3,128,22,0.00029423070373013616
bos,attn_in,Meta-Llama-3-8B,3,128,23,9.940723975887522e-05
bos,mlp_gate,Meta-Llama-3-8B,3,128,23,0.0003855766844935715
bos,mlp_down,Meta-Llama-3-8B,3,128,23,0.0002890781906899065
bos,attn_in,Meta-Llama-3-8B,3,128,24,8.730459376238286e-05
bos,mlp_gate,Meta-Llama-3-8B,3,128,24,0.0004144643899053335
bos,mlp_down,Meta-Llama-3-8B,3,128,24,0.00030211746343411505
bos,attn_in,Meta-Llama-3-8B,3,128,25,0.00010794422269100323
bos,mlp_gate,Meta-Llama-3-8B,3,128,25,0.00046268865116871893
bos,mlp_down,Meta-Llama-3-8B,3,128,25,0.00031733178184367716
bos,attn_in,Meta-Llama-3-8B,3,128,26,0.00017696106806397438
bos,mlp_gate,Meta-Llama-3-8B,3,128,26,0.000526770600117743
bos,mlp_down,Meta-Llama-3-8B,3,128,26,0.0003485723282210529
bos,attn_in,Meta-Llama-3-8B,3,128,27,0.0002582765882834792
bos,mlp_gate,Meta-Llama-3-8B,3,128,27,0.0006637062761001289
bos,mlp_down,Meta-Llama-3-8B,3,128,27,0.0004800416063517332
bos,attn_in,Meta-Llama-3-8B,3,128,28,0.00029062730027362704
bos,mlp_gate,Meta-Llama-3-8B,3,128,28,0.0008735847659409046
bos,mlp_down,Meta-Llama-3-8B,3,128,28,0.0006354611832648516
bos,attn_in,Meta-Llama-3-8B,3,128,29,0.00044323140173219144
bos,mlp_gate,Meta-Llama-3-8B,3,128,29,0.0012036286061629653
bos,mlp_down,Meta-Llama-3-8B,3,128,29,0.0010201430413872004
bos,attn_in,Meta-Llama-3-8B,3,128,30,0.0010096898768097162
bos,mlp_gate,Meta-Llama-3-8B,3,128,30,0.0022844234481453896
bos,mlp_down,Meta-Llama-3-8B,3,128,30,0.0029352472629398108
bos,attn_in,Meta-Llama-3-8B,3,128,31,0.0013236559461802244
bos,mlp_gate,Meta-Llama-3-8B,3,128,31,0.0096511235460639
bos,mlp_down,Meta-Llama-3-8B,3,128,31,0.5374816656112671
c4,attn_in,Meta-Llama-3-8B,3,128,0,1.5365707213277346e-06
c4,mlp_gate,Meta-Llama-3-8B,3,128,0,2.1330624804249965e-06
c4,mlp_down,Meta-Llama-3-8B,3,128,0,5.109989615448285e-06
c4,attn_in,Meta-Llama-3-8B,3,128,1,3.989441665908089e-06
c4,mlp_gate,Meta-Llama-3-8B,3,128,1,4.701513171312399e-05
c4,mlp_down,Meta-Llama-3-8B,3,128,1,0.00012536936264950782
c4,attn_in,Meta-Llama-3-8B,3,128,2,7.131035545171471e-06
c4,mlp_gate,Meta-Llama-3-8B,3,128,2,1.1429932783357799e-05
c4,mlp_down,Meta-Llama-3-8B,3,128,2,1.151342257799115e-05
c4,attn_in,Meta-Llama-3-8B,3,128,3,1.055624397849897e-05
c4,mlp_gate,Meta-Llama-3-8B,3,128,3,2.550779936427716e-05
c4,mlp_down,Meta-Llama-3-8B,3,128,3,2.0830028006457724e-05
c4,attn_in,Meta-Llama-3-8B,3,128,4,2.3309090465772897e-05
c4,mlp_gate,Meta-Llama-3-8B,3,128,4,4.613024430000223e-05
c4,mlp_down,Meta-Llama-3-8B,3,128,4,3.6578298022504896e-05
c4,attn_in,Meta-Llama-3-8B,3,128,5,3.0498231353703886e-05
c4,mlp_gate,Meta-Llama-3-8B,3,128,5,6.516962457681075e-05
c4,mlp_down,Meta-Llama-3-8B,3,128,5,5.457783117890358e-05
c4,attn_in,Meta-Llama-3-8B,3,128,6,3.950303289457224e-05
c4,mlp_gate,Meta-Llama-3-8B,3,128,6,8.367197006009519e-05
c4,mlp_down,Meta-Llama-3-8B,3,128,6,6.685862899757922e-05
c4,attn_in,Meta-Llama-3-8B,3,128,7,5.329389387043193e-05
c4,mlp_gate,Meta-Llama-3-8B,3,128,7,9.87605526461266e-05
c4,mlp_down,Meta-Llama-3-8B,3,128,7,7.498852210119367e-05
c4,attn_in,Meta-Llama-3-8B,3,128,8,7.033947622403502e-05
c4,mlp_gate,Meta-Llama-3-8B,3,128,8,0.00010860651673283428
c4,mlp_down,Meta-Llama-3-8B,3,128,8,8.141547732520849e-05
c4,attn_in,Meta-Llama-3-8B,3,128,9,9.053124085767195e-05
c4,mlp_gate,Meta-Llama-3-8B,3,128,9,0.00012420365237630904
c4,mlp_down,Meta-Llama-3-8B,3,128,9,9.483862959314138e-05
c4,attn_in,Meta-Llama-3-8B,3,128,10,9.497673454461619e-05
c4,mlp_gate,Meta-Llama-3-8B,3,128,10,0.00012383585271891207
c4,mlp_down,Meta-Llama-3-8B,3,128,10,9.728405711939558e-05
c4,attn_in,Meta-Llama-3-8B,3,128,11,9.250006405636668e-05
c4,mlp_gate,Meta-Llama-3-8B,3,128,11,0.0001343000476481393
c4,mlp_down,Meta-Llama-3-8B,3,128,11,0.00010176920477533713
c4,attn_in,Meta-Llama-3-8B,3,128,12,9.540600149193779e-05
c4,mlp_gate,Meta-Llama-3-8B,3,128,12,0.00015917475684545934
c4,mlp_down,Meta-Llama-3-8B,3,128,12,0.00011231962707825005
c4,attn_in,Meta-Llama-3-8B,3,128,13,0.00012589308607857674
c4,mlp_gate,Meta-Llama-3-8B,3,128,13,0.00018395493680145591
c4,mlp_down,Meta-Llama-3-8B,3,128,13,0.00013650710752699524
c4,attn_in,Meta-Llama-3-8B,3,128,14,0.0001526744308648631
c4,mlp_gate,Meta-Llama-3-8B,3,128,14,0.0002208397927461192
c4,mlp_down,Meta-Llama-3-8B,3,128,14,0.00015378964599221945
c4,attn_in,Meta-Llama-3-8B,3,128,15,0.00014082688721828163
c4,mlp_gate,Meta-Llama-3-8B,3,128,15,0.0002542015863582492
c4,mlp_down,Meta-Llama-3-8B,3,128,15,0.00020238952129147947
c4,attn_in,Meta-Llama-3-8B,3,128,16,0.00015674621681682765
c4,mlp_gate,Meta-Llama-3-8B,3,128,16,0.00025895473663695157
c4,mlp_down,Meta-Llama-3-8B,3,128,16,0.0002121685683960095
c4,attn_in,Meta-Llama-3-8B,3,128,17,0.00012381000851746649
