dataset,part,model,nbits,group_size,layer,sensitivity
c4,attn_in,Llama-2-7b-chat-hf,3,128,0,2.522855766073917e-06
c4,attn_out,Llama-2-7b-chat-hf,3,128,0,2.867207513190806e-06
c4,mlp_gate,Llama-2-7b-chat-hf,3,128,0,6.711895821354119e-07
c4,mlp_down,Llama-2-7b-chat-hf,3,128,0,6.7198329816164915e-06
c4,attn_in,Llama-2-7b-chat-hf,3,128,1,7.727867341600358e-06
c4,attn_out,Llama-2-7b-chat-hf,3,128,1,1.0625341019476764e-05
c4,mlp_gate,Llama-2-7b-chat-hf,3,128,1,0.00014886358985677361
c4,mlp_down,Llama-2-7b-chat-hf,3,128,1,0.02867015078663826
c4,attn_in,Llama-2-7b-chat-hf,3,128,2,1.8639648260432296e-05
c4,attn_out,Llama-2-7b-chat-hf,3,128,2,1.0641711014613975e-05
c4,mlp_gate,Llama-2-7b-chat-hf,3,128,2,2.1038989871158265e-05
c4,mlp_down,Llama-2-7b-chat-hf,3,128,2,2.644555024744477e-05
c4,attn_in,Llama-2-7b-chat-hf,3,128,3,3.686738637043163e-05
c4,attn_out,Llama-2-7b-chat-hf,3,128,3,1.668496770435013e-05
c4,mlp_gate,Llama-2-7b-chat-hf,3,128,3,5.182471431908198e-05
c4,mlp_down,Llama-2-7b-chat-hf,3,128,3,4.7185327275656164e-05
c4,attn_in,Llama-2-7b-chat-hf,3,128,4,7.11778411641717e-05
c4,attn_out,Llama-2-7b-chat-hf,3,128,4,3.0251727366703562e-05
c4,mlp_gate,Llama-2-7b-chat-hf,3,128,4,0.00010139225196326151
c4,mlp_down,Llama-2-7b-chat-hf,3,128,4,0.00013707666948903352
c4,attn_in,Llama-2-7b-chat-hf,3,128,5,0.00012531089305412024
c4,attn_out,Llama-2-7b-chat-hf,3,128,5,5.6671120546525344e-05
c4,mlp_gate,Llama-2-7b-chat-hf,3,128,5,0.00016190587484743446
c4,mlp_down,Llama-2-7b-chat-hf,3,128,5,0.0001297040143981576
c4,attn_in,Llama-2-7b-chat-hf,3,128,6,0.00015578929742332548
c4,attn_out,Llama-2-7b-chat-hf,3,128,6,7.091773295542225e-05
c4,mlp_gate,Llama-2-7b-chat-hf,3,128,6,0.0002431217289995402
c4,mlp_down,Llama-2-7b-chat-hf,3,128,6,0.0001950913283508271
c4,attn_in,Llama-2-7b-chat-hf,3,128,7,0.00022163396351970732
c4,attn_out,Llama-2-7b-chat-hf,3,128,7,9.501798922428861e-05
c4,mlp_gate,Llama-2-7b-chat-hf,3,128,7,0.00033468997571617365
c4,mlp_down,Llama-2-7b-chat-hf,3,128,7,0.00025662154075689614
c4,attn_in,Llama-2-7b-chat-hf,3,128,8,0.0003524872590787709
c4,attn_out,Llama-2-7b-chat-hf,3,128,8,0.00013619867968373
c4,mlp_gate,Llama-2-7b-chat-hf,3,128,8,0.0004109160217922181
c4,mlp_down,Llama-2-7b-chat-hf,3,128,8,0.0003121227491647005
c4,attn_in,Llama-2-7b-chat-hf,3,128,9,0.0004606967850122601
c4,attn_out,Llama-2-7b-chat-hf,3,128,9,0.000201065355213359
c4,mlp_gate,Llama-2-7b-chat-hf,3,128,9,0.0004868144460488111
c4,mlp_down,Llama-2-7b-chat-hf,3,128,9,0.00036517358967103064
c4,attn_in,Llama-2-7b-chat-hf,3,128,10,0.000514721148647368
c4,attn_out,Llama-2-7b-chat-hf,3,128,10,0.00027098829741589725
c4,mlp_gate,Llama-2-7b-chat-hf,3,128,10,0.0005740007618442178
c4,mlp_down,Llama-2-7b-chat-hf,3,128,10,0.000419186515500769
c4,attn_in,Llama-2-7b-chat-hf,3,128,11,0.0005523672443814576
c4,attn_out,Llama-2-7b-chat-hf,3,128,11,0.00025968789122998714
c4,mlp_gate,Llama-2-7b-chat-hf,3,128,11,0.0006338319508358836
c4,mlp_down,Llama-2-7b-chat-hf,3,128,11,0.0004666822496801615
c4,attn_in,Llama-2-7b-chat-hf,3,128,12,0.0006580037879757583
c4,attn_out,Llama-2-7b-chat-hf,3,128,12,0.0002793016319628805
c4,mlp_gate,Llama-2-7b-chat-hf,3,128,12,0.0007119496585801244
c4,mlp_down,Llama-2-7b-chat-hf,3,128,12,0.0005277449963614345
c4,attn_in,Llama-2-7b-chat-hf,3,128,13,0.0006758268573321402
c4,attn_out,Llama-2-7b-chat-hf,3,128,13,0.00034173205494880676
c4,mlp_gate,Llama-2-7b-chat-hf,3,128,13,0.0008440922247245908
c4,mlp_down,Llama-2-7b-chat-hf,3,128,13,0.0006418640841729939
c4,attn_in,Llama-2-7b-chat-hf,3,128,14,0.0007209479226730764
c4,attn_out,Llama-2-7b-chat-hf,3,128,14,0.00037194008473306894
c4,mlp_gate,Llama-2-7b-chat-hf,3,128,14,0.0009572911658324301
c4,mlp_down,Llama-2-7b-chat-hf,3,128,14,0.0007530574803240597
c4,attn_in,Llama-2-7b-chat-hf,3,128,15,0.0008899829117581248
c4,attn_out,Llama-2-7b-chat-hf,3,128,15,0.00041348839295096695
c4,mlp_gate,Llama-2-7b-chat-hf,3,128,15,0.0011803590459749103
c4,mlp_down,Llama-2-7b-chat-hf,3,128,15,0.0009352138149552047
c4,attn_in,Llama-2-7b-chat-hf,3,128,16,0.0009267829009331763
c4,attn_out,Llama-2-7b-chat-hf,3,128,16,0.0005576697294600308
c4,mlp_gate,Llama-2-7b-chat-hf,3,128,16,0.0014785915846005082
c4,mlp_down,Llama-2-7b-chat-hf,3,128,16,0.0013543161330744624
c4,attn_in,Llama-2-7b-chat-hf,3,128,17,0.0006974308053031564
c4,attn_out,Llama-2-7b-chat-hf,3,128,17,0.0003745197900570929
c4,mlp_gate,Llama-2-7b-chat-hf,3,128,17,0.0016449118265882134
c4,mlp_down,Llama-2-7b-chat-hf,3,128,17,0.001371120917610824
c4,attn_in,Llama-2-7b-chat-hf,3,128,18,0.0008034544298425317
c4,attn_out,Llama-2-7b-chat-hf,3,128,18,0.0003869619977194816
c4,mlp_gate,Llama-2-7b-chat-hf,3,128,18,0.0019401309546083212
c4,mlp_down,Llama-2-7b-chat-hf,3,128,18,0.001598875503987074
c4,attn_in,Llama-2-7b-chat-hf,3,128,19,0.0008081968990154564
c4,attn_out,Llama-2-7b-chat-hf,3,128,19,0.00039793158066459
c4,mlp_gate,Llama-2-7b-chat-hf,3,128,19,0.0022289156913757324
c4,mlp_down,Llama-2-7b-chat-hf,3,128,19,0.0018174683209508657
c4,attn_in,Llama-2-7b-chat-hf,3,128,20,0.0008881792891770601
c4,attn_out,Llama-2-7b-chat-hf,3,128,20,0.00048461114056408405
c4,mlp_gate,Llama-2-7b-chat-hf,3,128,20,0.002579797524958849
c4,mlp_down,Llama-2-7b-chat-hf,3,128,20,0.00213133217766881
c4,attn_in,Llama-2-7b-chat-hf,3,128,21,0.0007606739527545869
c4,attn_out,Llama-2-7b-chat-hf,3,128,21,0.000435080990428105
c4,mlp_gate,Llama-2-7b-chat-hf,3,128,21,0.002894345438107848
c4,mlp_down,Llama-2-7b-chat-hf,3,128,21,0.002230376936495304
c4,attn_in,Llama-2-7b-chat-hf,3,128,22,0.0012442171573638916
c4,attn_out,Llama-2-7b-chat-hf,3,128,22,0.0005132841179147363
c4,mlp_gate,Llama-2-7b-chat-hf,3,128,22,0.0033470105845481157
c4,mlp_down,Llama-2-7b-chat-hf,3,128,22,0.002521742833778262
c4,attn_in,Llama-2-7b-chat-hf,3,128,23,0.001113019185140729
c4,attn_out,Llama-2-7b-chat-hf,3,128,23,0.000552155717741698
c4,mlp_gate,Llama-2-7b-chat-hf,3,128,23,0.003796221222728491
c4,mlp_down,Llama-2-7b-chat-hf,3,128,23,0.0027104925829917192
c4,attn_in,Llama-2-7b-chat-hf,3,128,24,0.0017726203659549356
c4,attn_out,Llama-2-7b-chat-hf,3,128,24,0.0007346305646933615
c4,mlp_gate,Llama-2-7b-chat-hf,3,128,24,0.004259000066667795
c4,mlp_down,Llama-2-7b-chat-hf,3,128,24,0.0029427490662783384
c4,attn_in,Llama-2-7b-chat-hf,3,128,25,0.0012511786771938205
c4,attn_out,Llama-2-7b-chat-hf,3,128,25,0.0005600877339020371
c4,mlp_gate,Llama-2-7b-chat-hf,3,128,25,0.004847937263548374
c4,mlp_down,Llama-2-7b-chat-hf,3,128,25,0.003172279568389058
c4,attn_in,Llama-2-7b-chat-hf,3,128,26,0.002017990918830037
c4,attn_out,Llama-2-7b-chat-hf,3,128,26,0.0010181278921663761
c4,mlp_gate,Llama-2-7b-chat-hf,3,128,26,0.0056390161626040936
c4,mlp_down,Llama-2-7b-chat-hf,3,128,26,0.003618827322497964
