model,algo,config,bpp,zeroshot_mem_allot,zeroshot_mem_reserved,acc1_zeroshot_cls,acc5_zeroshot_cls,recall_zeroshot_cls,duration_zeroshot_cls,linear_probe_mem_allot,linear_probe_mem_reserved,acc1_linear_probe,acc5_linear_probe,recall_linear_probe,duration_linear_probe
CLIP-ViT-B-32-laion2B-s34B-b79K,fp16,base,16,850.7080078125,3826,0.66532,0.899,0.66546,234.42440819740293,1529.10107421875,11222,0.74146,0.93046,0.7413399999999999,4107.749242544174
CLIP-ViT-B-32-laion2B-s34B-b79K,hqq,b2g16,3.02,381.8896484375,456,0.23974,0.47004,0.23962,203.7415533065796,1184.15380859375,1318,0.52724,0.77376,0.5271399999999999,4135.487983226776
CLIP-ViT-B-32-laion2B-s34B-b79K,hqq,b2g32,2.51,374.5771484375,452,0.04142,0.10862,0.04148,207.44386196136475,1177.59130859375,1314,0.3371,0.57482,0.3371,4208.805464982986
CLIP-ViT-B-32-laion2B-s34B-b79K,hqq,b2g64,2.25,370.9208984375,452,0.00438,0.01916,0.00438,206.0947680473328,1173.68505859375,1332,0.23036,0.43754,0.23016,4207.1489610672
CLIP-ViT-B-32-laion2B-s34B-b79K,hqq,b3g128,3.13,382.35400390625,472,0.48118,0.759,0.4812599999999999,208.10354614257807,1184.04443359375,1334,0.66726,0.882,0.6673600000000001,4254.134332895279
CLIP-ViT-B-32-laion2B-s34B-b79K,hqq,b3g32,3.51,394.0771484375,472,0.60172,0.85774,0.60156,210.99557971954343,1202.71630859375,1350,0.7136,0.91542,0.71354,4405.324194431305
CLIP-ViT-B-32-laion2B-s34B-b79K,hqq,b3g64,3.25,385.5458984375,448,0.5505,0.821,0.5505,227.58782124519348,1188.56005859375,1650,0.68872,0.8996,0.68882,4307.874148368835
CLIP-ViT-B-32-laion2B-s34B-b79K,hqq,b4g128,4.13,388.5927734375,470,0.63282,0.87984,0.6325,216.2379570007324,1183.82958984375,1650,0.73274,0.9247,0.7325799999999999,4190.1527416706085
CLIP-ViT-B-32-laion2B-s34B-b79K,hqq,b4g32,4.51,394.0771484375,496,0.65214,0.89108,0.65168,205.0110003948212,1199.81396484375,1356,0.73664,0.9273,0.73642,4134.246334075928
CLIP-ViT-B-32-laion2B-s34B-b79K,hqq,b4g64,4.25,422.00439453125,534,0.64706,0.88756,0.64708,209.97533631324768,1198.15771484375,1372,0.73448,0.92596,0.7345,4239.345412492752
CLIP-ViT-B-32-laion2B-s34B-b79K,hqq,b8g128,8.13,455.4658203125,534,0.66528,0.89846,0.66488,203.35580730438232,1230.70458984375,1434,0.74078,0.93038,0.74104,4206.988228321075
CLIP-ViT-B-32-laion2B-s34B-b79K,hqq,b8g32,8.51,457.3173828125,514,0.6655,0.899,0.66562,207.1688771247864,1237.06396484375,1434,0.74134,0.9302,0.74128,4243.80326128006
CLIP-ViT-B-32-laion2B-s34B-b79K,hqq,b8g64,8.25,429.4208984375,448,0.66494,0.89864,0.66501999999999994,240.3741898536682,1222.65771484375,1260,0.74164,0.93042,0.74174,4117.857486486435
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,2_20,2.2,375.15673828125,468,0.00282,0.01056,0.0028,58.48104786872864,1175.44091796875,1552,0.20718,0.40748,0.20728,5786.485795736313
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,2_25,2.25,373.99365234375,502,0.0039,0.01406,0.00394,59.11011552810669,1174.76220703125,1556,0.21222,0.4066,0.212,5634.143008232117
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,2_46,2.46,377.28564453125,1786,0.00324,0.0151,0.00324,59.59771013259888,1177.92626953125,2824,0.2425,0.45582,0.24246,4395.418176412582
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,2_51,2.51,1580.25830078125,2728,0.00454,0.01924,0.00456,59.47060823440552,1589.19580078125,9342,0.24444,0.46038,0.24432,4163.087644338608
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,2_96,2.96,385.5791015625,438,0.06576,0.16514,0.06588,57.96672034263611,1182.39404296875,1380,0.39072,0.63548,0.39076,4231.311728477478
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,2_99,2.99,384.9541015625,440,0.07934,0.1966,0.07932,58.85348153114319,1172.76904296875,1206,0.41118,0.6577,0.411,4337.7286901474
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,3_16,3.16,389.0048828125,442,0.39724,0.66838,0.3971599999999999,59.14638710021973,1185.84716796875,1330,0.62064,0.85066,0.62076,4630.061227560043
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,3_19,3.19,388.4794921875,442,0.4088,0.67846,0.40906,58.98822188377381,1185.32177734375,1330,0.6252,0.85228,0.62516,4359.522394657135
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,3_23,3.23,388.24609375,462,0.51688,0.79446,0.51734,57.894038438797,1186.71337890625,1330,0.681,0.89498,0.6810600000000001,4232.04615354538
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,3_33,3.33,388.021484375,462,0.53612,0.80948,0.5362,57.809327840805054,1187.98876953125,1328,0.68716,0.89758,0.68722,4213.00830411911
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,3_40,3.4,390.40185546875,460,0.54548,0.8159,0.5454000000000001,58.0008556842804,1188.58544921875,1308,0.69254,0.90106,0.69248,4224.0455493927
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,4_28,4.28,399.03271484375,466,0.64694,0.88618,0.6470199999999999,57.00142502784729,1194.81298828125,1288,0.73342,0.926,0.7333999999999999,4350.59180521965
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,4_33,4.33,395.17041015625,466,0.64656,0.88672,0.6467,58.24850296974182,1196.10693359375,1288,0.73426,0.92584,0.73422,4257.70300579071
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,4_37,4.37,397.64404296875,468,0.6479,0.88796,0.648,56.93164253234863,1195.33056640625,1290,0.73466,0.92646,0.7348199999999999,4320.039063453674
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,4_42,4.42,395.83056640625,470,0.64864,0.88908,0.64904,57.19618344306946,1197.01708984375,1312,0.73392,0.92648,0.7340399999999999,4687.621387720108
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,4_46,4.46,399.06201171875,476,0.65118,0.88992,0.651,56.432485580444336,1196.62353515625,1338,0.73558,0.9266,0.73554,4513.432942390442
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,4_73,4.73,399.90771484375,478,0.65174,0.88992,0.65168,58.4588782787323,1201.03564453125,1656,0.73662,0.92722,0.7365799999999999,4372.478152990341
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,4_95,4.95,404.62841796875,478,0.65364,0.8909,0.6534,57.02742958068848,1191.28759765625,1656,0.73624,0.9272,0.73612,4227.337435007095
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,5_00,5,424.18505859375,526,0.65386,0.8905,0.6536200000000001,58.88898205757141,1205.02197265625,1506,0.73624,0.9272,0.73612,4150.996949195862
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,7_48,7.48,446.2626953125,526,0.6579,0.89478,0.65786,57.41234350204468,1228.94189453125,1546,0.73854,0.929,0.73848,4795.517537593842
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,7_56,7.56,446.697265625,542,0.6587,0.896,0.6585200000000001,56.63871049880981,1230.47607421875,1588,0.73938,0.92888,0.73946,4570.159451007843
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,7_64,7.64,450.287109375,696,0.6596,0.89506,0.6595599999999999,57.13972759246826,1228.62646484375,1970,0.73852,0.92886,0.73854,5134.144375801086
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,7_72,7.72,449.390625,1876,0.6599,0.89588,0.6600799999999999,57.5182888507843,1236.05029296875,2888,0.7391,0.92964,0.7392000000000001,4563.934373140335
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,7_80,7.8,1707.1650390625,2798,0.66172,0.89494,0.6614800000000001,58.5947802066803,1713.7822265625,9252,0.73958,0.9298,0.73932,4096.482877016068
CLIP-ViT-H-14-laion2B-s32B-b79K,fp16,base,16,5490.5224609375,5566,0.77954,0.95236,0.7793800000000001,298.7095136642456,9131.52978515625,11212,0.80422,0.95808,0.8041200000000001,4490.457540988922
CLIP-ViT-H-14-laion2B-s32B-b79K,hqq,b2g16,3.02,2084.79638671875,2248,0.73658,0.93584,0.7366,255.04898047447205,2607.767578125,2868,0.7759,0.9457,0.77576,5166.532215
CLIP-ViT-H-14-laion2B-s32B-b79K,hqq,b2g32,2.51,2029.29638671875,2204,0.70882,0.92204,0.7089,256.4049708843231,2552.267578125,2784,0.7646,0.9395,0.7645,5174.188637
CLIP-ViT-H-14-laion2B-s32B-b79K,hqq,b2g64,2.25,2001.54638671875,2174,0.64486,0.8846,0.64488,252.53501534461972,2524.517578125,2714,0.736,0.9253,0.73588,5135.478503
