model,module,layer,memmb,param_cnt,bit_budget,b1,g1,b2,g2,params_quant_tot,params_all_tot
Llama-2-7b-hf,self_attn.q_proj,0,6.25390625,16777216,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,self_attn.k_proj,0,6.25390625,16777216,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,self_attn.v_proj,0,6.25390625,16777216,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,self_attn.o_proj,0,6.25390625,16777216,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,mlp.gate_proj,0,16.807373046875,45088768,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,mlp.up_proj,0,16.807373046875,45088768,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,mlp.down_proj,0,16.807373046875,45088768,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,self_attn.q_proj,1,6.25390625,16777216,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,self_attn.k_proj,1,6.25390625,16777216,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,self_attn.v_proj,1,6.25390625,16777216,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,self_attn.o_proj,1,6.25390625,16777216,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,mlp.gate_proj,1,16.807373046875,45088768,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,mlp.up_proj,1,16.807373046875,45088768,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,mlp.down_proj,1,16.807373046875,45088768,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,self_attn.q_proj,2,6.25390625,16777216,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,self_attn.k_proj,2,6.25390625,16777216,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,self_attn.v_proj,2,6.25390625,16777216,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,self_attn.o_proj,2,6.25390625,16777216,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,mlp.gate_proj,2,16.807373046875,45088768,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,mlp.up_proj,2,16.807373046875,45088768,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,mlp.down_proj,2,16.807373046875,45088768,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,self_attn.q_proj,3,6.25390625,16777216,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,self_attn.k_proj,3,6.25390625,16777216,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,self_attn.v_proj,3,6.25390625,16777216,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,self_attn.o_proj,3,6.25390625,16777216,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,mlp.gate_proj,3,16.807373046875,45088768,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,mlp.up_proj,3,16.807373046875,45088768,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,mlp.down_proj,3,22.182373046875,45088768,3.13,4,128,8,128,6476005376,6738415616
Llama-2-7b-hf,self_attn.q_proj,4,6.25390625,16777216,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,self_attn.k_proj,4,6.25390625,16777216,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,self_attn.v_proj,4,6.25390625,16777216,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,self_attn.o_proj,4,6.25390625,16777216,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,mlp.gate_proj,4,22.182373046875,45088768,3.13,4,128,8,128,6476005376,6738415616
