layer,module,nbit1,gsize1,nbit2,gsize2,fnorm,memmb,params,kurtosis,kurtosis_scaled,sensitivity
0,self_attn.q_proj,2,32,8,128,23.5625,5.015625,16777216,70.89063407817052,1,7.048050520097604e-6
0,self_attn.q_proj,2,64,8,128,28.234375,4.5078125,16777216,70.89063407817052,1,1.0594822924758772e-5
0,self_attn.q_proj,2,128,8,128,32.5625,4.25390625,16777216,70.89063407817052,1,2.0774496078956872e-5
0,self_attn.q_proj,3,32,8,128,10.5,7.015625,16777216,70.89063407817052,1,7.323668000935868e-7
0,self_attn.q_proj,3,64,8,128,13.1171875,6.5078125,16777216,70.89063407817052,1,1.5155692381085828e-6
0,self_attn.q_proj,3,128,8,128,16.15625,6.25390625,16777216,70.89063407817052,1,3.0573014555557165e-6
0,self_attn.q_proj,4,32,8,128,4.91015625,9.015625,16777216,70.89063407817052,1,2.29104742288655e-7
0,self_attn.q_proj,4,64,8,128,6.16015625,8.5078125,16777216,70.89063407817052,1,3.511252089083428e-7
0,self_attn.q_proj,4,128,8,128,7.6484375,8.25390625,16777216,70.89063407817052,1,5.7365252814634e-7
0,self_attn.q_proj,8,32,8,128,0.297119140625,17.015625,16777216,70.89063407817052,1,9.463472228077308e-10
0,self_attn.q_proj,8,64,8,128,0.372314453125,16.5078125,16777216,70.89063407817052,1,1.5505027262108227e-9
0,self_attn.q_proj,8,128,8,128,0.46142578125,16.25390625,16777216,70.89063407817052,1,2.1935657734672982e-9
0,self_attn.v_proj,2,32,8,128,19.15625,5.015625,16777216,6.17988231863005,1,7.048050520097604e-6
0,self_attn.v_proj,2,64,8,128,23.359375,4.5078125,16777216,6.17988231863005,1,1.0594822924758772e-5
0,self_attn.v_proj,2,128,8,128,27.140625,4.25390625,16777216,6.17988231863005,1,2.0774496078956872e-5
0,self_attn.v_proj,3,32,8,128,8.3046875,7.015625,16777216,6.17988231863005,1,7.323668000935868e-7
0,self_attn.v_proj,3,64,8,128,10.296875,6.5078125,16777216,6.17988231863005,1,1.5155692381085828e-6
0,self_attn.v_proj,3,128,8,128,12.328125,6.25390625,16777216,6.17988231863005,1,3.0573014555557165e-6
0,self_attn.v_proj,4,32,8,128,3.875,9.015625,16777216,6.17988231863005,1,2.29104742288655e-7
0,self_attn.v_proj,4,64,8,128,4.8046875,8.5078125,16777216,6.17988231863005,1,3.511252089083428e-7
0,self_attn.v_proj,4,128,8,128,5.76171875,8.25390625,16777216,6.17988231863005,1,5.7365252814634e-7
0,self_attn.v_proj,8,32,8,128,0.234375,17.015625,16777216,6.17988231863005,1,9.463472228077308e-10
0,self_attn.v_proj,8,64,8,128,0.29052734375,16.5078125,16777216,6.17988231863005,1,1.5505027262108227e-9
