model,module,layer,memmb,param_cnt,bit_budget,b1,g1,b2,g2,params_quant_tot,params_all_tot
Qwen3.5-2B,mlp.down_proj,5,5.003430366516113,13422592,3.13,3,128,8,128,1275683712,3003155584
Qwen3.5-2B,self_attn.q_proj,7,17.015625,33554432,3.13,4,64,8,128,1275683712,3003155584
Qwen3.5-2B,mlp.down_proj,9,5.003430366516113,13422592,3.13,3,128,8,128,1275683712,3003155584
Qwen3.5-2B,self_attn.k_proj,15,2.126953125,4194304,3.13,4,64,8,128,1275683712,3003155584
Qwen3.5-2B,mlp.down_proj,10,5.003430366516113,13422592,3.13,3,128,8,128,1275683712,3003155584
Qwen3.5-2B,mlp.down_proj,3,5.6125481724739075,13421888,3.13,3,32,8,128,1275683712,3003155584
Qwen3.5-2B,mlp.gate_proj,18,5.003430366516113,13422592,3.13,3,128,8,128,1275683712,3003155584
Qwen3.5-2B,mlp.gate_proj,19,5.003430366516113,13422592,3.13,3,128,8,128,1275683712,3003155584
Qwen3.5-2B,mlp.up_proj,16,5.6125481724739075,13421888,3.13,3,32,8,128,1275683712,3003155584
Qwen3.5-2B,mlp.gate_proj,16,5.003430366516113,13422592,3.13,3,128,8,128,1275683712,3003155584
Qwen3.5-2B,mlp.down_proj,4,5.003430366516113,13422592,3.13,3,128,8,128,1275683712,3003155584
Qwen3.5-2B,mlp.up_proj,6,5.003430366516113,13422592,3.13,3,128,8,128,1275683712,3003155584
Qwen3.5-2B,self_attn.o_proj,15,8.5078125,16777216,3.13,4,64,8,128,1275683712,3003155584
Qwen3.5-2B,mlp.up_proj,18,5.003430366516113,13422592,3.13,3,128,8,128,1275683712,3003155584
Qwen3.5-2B,self_attn.q_proj,23,17.015625,33554432,3.13,4,64,8,128,1275683712,3003155584
Qwen3.5-2B,mlp.gate_proj,10,5.003430366516113,13422592,3.13,3,128,8,128,1275683712,3003155584
Qwen3.5-2B,mlp.gate_proj,7,5.003430366516113,13422592,3.13,3,128,8,128,1275683712,3003155584
Qwen3.5-2B,mlp.up_proj,21,5.003430366516113,13422592,3.13,3,128,8,128,1275683712,3003155584
Qwen3.5-2B,mlp.down_proj,22,5.003430366516113,13422592,3.13,3,128,8,128,1275683712,3003155584
Qwen3.5-2B,self_attn.v_proj,3,0.4173024296760559,1119488,3.13,3,128,8,128,1275683712,3003155584
Qwen3.5-2B,mlp.up_proj,5,5.003430366516113,13422592,3.13,3,128,8,128,1275683712,3003155584
Qwen3.5-2B,mlp.gate_proj,6,5.003430366516113,13422592,3.13,3,128,8,128,1275683712,3003155584
Qwen3.5-2B,mlp.gate_proj,14,5.6125481724739075,13421888,3.13,3,32,8,128,1275683712,3003155584
Qwen3.5-2B,mlp.gate_proj,20,5.003430366516113,13422592,3.13,3,128,8,128,1275683712,3003155584
Qwen3.5-2B,mlp.up_proj,17,5.003430366516113,13422592,3.13,3,128,8,128,1275683712,3003155584
Qwen3.5-2B,mlp.down_proj,19,5.003430366516113,13422592,3.13,3,128,8,128,1275683712,3003155584
Qwen3.5-2B,self_attn.o_proj,7,8.5078125,16777216,3.13,4,64,8,128,1275683712,3003155584
Qwen3.5-2B,mlp.down_proj,13,5.003430366516113,13422592,3.13,3,128,8,128,1275683712,3003155584
Qwen3.5-2B,mlp.gate_proj,0,5.003430366516113,13422592,3.13,3,128,8,128,1275683712,3003155584
Qwen3.5-2B,mlp.gate_proj,9,5.003430366516113,13422592,3.13,3,128,8,128,1275683712,3003155584
Qwen3.5-2B,mlp.down_proj,15,5.003430366516113,13422592,3.13,3,128,8,128,1275683712,3003155584
Qwen3.5-2B,mlp.gate_proj,22,5.003430366516113,13422592,3.13,3,128,8,128,1275683712,3003155584
Qwen3.5-2B,self_attn.o_proj,23,8.5078125,16777216,3.13,4,64,8,128,1275683712,3003155584
Qwen3.5-2B,mlp.gate_proj,23,5.003430366516113,13422592,3.13,3,128,8,128,1275683712,3003155584
Qwen3.5-2B,self_attn.q_proj,15,17.015625,33554432,3.13,4,64,8,128,1275683712,3003155584
Qwen3.5-2B,mlp.down_proj,20,5.003430366516113,13422592,3.13,3,128,8,128,1275683712,3003155584
Qwen3.5-2B,mlp.down_proj,18,5.003430366516113,13422592,3.13,3,128,8,128,1275683712,3003155584
Qwen3.5-2B,mlp.down_proj,2,5.6125481724739075,13421888,3.13,3,32,8,128,1275683712,3003155584
Qwen3.5-2B,mlp.up_proj,22,5.003430366516113,13422592,3.13,3,128,8,128,1275683712,3003155584
Qwen3.5-2B,mlp.down_proj,21,5.003430366516113,13422592,3.13,3,128,8,128,1275683712,3003155584
Qwen3.5-2B,mlp.up_proj,15,5.003430366516113,13422592,3.13,3,128,8,128,1275683712,3003155584
Qwen3.5-2B,self_attn.v_proj,23,2.126953125,4194304,3.13,4,64,8,128,1275683712,3003155584
Qwen3.5-2B,self_attn.k_proj,11,2.126953125,4194304,3.13,4,64,8,128,1275683712,3003155584
Qwen3.5-2B,mlp.gate_proj,17,5.003430366516113,13422592,3.13,3,128,8,128,1275683712,3003155584
Qwen3.5-2B,mlp.up_proj,23,5.6125481724739075,13421888,3.13,3,32,8,128,1275683712,3003155584
Qwen3.5-2B,self_attn.k_proj,19,2.126953125,4194304,3.13,4,64,8,128,1275683712,3003155584
Qwen3.5-2B,mlp.gate_proj,15,5.6125481724739075,13421888,3.13,3,32,8,128,1275683712,3003155584
Qwen3.5-2B,mlp.up_proj,3,5.003430366516113,13422592,3.13,3,128,8,128,1275683712,3003155584
Qwen3.5-2B,self_attn.q_proj,11,17.015625,33554432,3.13,4,64,8,128,1275683712,3003155584
Qwen3.5-2B,mlp.down_proj,8,5.003430366516113,13422592,3.13,3,128,8,128,1275683712,3003155584
Qwen3.5-2B,self_attn.o_proj,19,8.5078125,16777216,3.13,4,64,8,128,1275683712,3003155584
Qwen3.5-2B,mlp.gate_proj,4,5.003430366516113,13422592,3.13,3,128,8,128,1275683712,3003155584
