model,algo,config,bpp,attempt,ppl_wikitext,ppl_c4,load_mem_allot,model_storage_size,quant_duration,param_count
Qwen3.5-9B,bnb,b8g128,8.13,,8.2207,11.756,10.24,10.24,0,9000000000
Qwen3.5-9B,bnb,b4g64,4.25,,8.4621,12.0673,7.12,7.12,3.8200972080230713,9000000000
Qwen3.5-2B,bnb,b8g128,8.13,,11.78,16.954,2.23,2.23,2.811291217803955,2000000000
Qwen3.5-4B,bnb,b8g128,8.13,,9.238,13.4537,4.51,4.51,5.548757791519165,4000000000
Qwen3.5-2B,bnb,b4g64,4.25,,12.3053,17.9482,1.61,1.61,2.3397908210754395,2000000000
Qwen3.5-4B,bnb,b4g64,4.25,,9.9809,13.9025,2.9,2.9,2.8312790393829346,4000000000
Qwen3.5-4B,awq,b4g32,4.51,,9.357,13.6601,5.29,5.29,567.0703585147858,4000000000
Qwen3.5-9B,awq,b4g32,4.51,,8.461,11.9216,10.96,10.96,983.1591565608978,9000000000
Qwen3.5-4B,awq,b4g128,4.13,,9.5053,13.8479,5.15,5.15,491.5282211303711,4000000000
Qwen3.5-4B,awq,b4g64,4.25,,9.3731,13.7215,5.2,5.2,513.8567271232605,4000000000
Qwen3.5-2B,awq,b4g128,4.13,,12.6429,17.8486,2.87,2.87,259.39180874824524,2000000000
Qwen3.5-2B,awq,b4g64,4.25,,12.355,17.6432,2.88,2.88,285.58462262153625,2000000000
Qwen3.5-9B,awq,b4g128,4.13,,8.6393,12.0775,10.67,10.67,748.0911507606506,9000000000
Qwen3.5-2B,awq,b4g32,4.51,,11.9827,17.4427,2.92,2.92,281.366149187088,2000000000
Qwen3.5-9B,awq,b4g64,4.25,,8.4082,12,10.77,10.77,855.5035943984985,9000000000
Qwen3.5-2B,fp16,base,16,,11.6791,16.8597,3.51,4.24,,2000000000
Qwen3.5-9B,fp16,base,16,,8.2408,11.6886,16.68,17.98,,9000000000
Qwen3.5-9B,gptq,b3g64,3.25,,8.8916,12.7683,7.8,7.76,613.6590588092804,9000000000
Qwen3.5-9B,gptq,b3g32,3.51,,8.4275,12.5773,8.11,8,616.423992395401,9000000000
Qwen3.5-2B,gptq,b4g64,4.25,,12.4316,17.4447,2.41,2.37,216.45211029052732,2000000000
Qwen3.5-4B,gptq,b8g64,8.25,,9.1399,13.3946,5.56,5.52,411.6405487060547,4000000000
Qwen3.5-2B,gptq,b4g32,4.51,,12.3378,17.3926,2.5,2.42,217.4315252304077,2000000000
Qwen3.5-4B,gptq,b4g128,4.13,,9.6924,13.7501,3.82,3.77,409.85187792778015,4000000000
Qwen3.5-9B,gptq,b3g128,3.13,,9.5104,13.0911,7.66,7.64,610.9701697826385,9000000000
Qwen3.5-4B,gptq,b8g32,8.51,,9.15,13.3964,5.76,5.67,414.22618770599365,4000000000
Qwen3.5-2B,gptq,b3g128,3.13,,15.8837,21.5348,2.21,2.19,219.0821537971497,2000000000
Qwen3.5-2B,gptq,b3g64,3.25,,15.1637,20.1265,2.25,2.21,219.7329788208008,2000000000
Qwen3.5-9B,gptq,b4g128,4.13,,8.2114,11.9368,8.49,8.45,600.4276251792908,9000000000
Qwen3.5-2B,gptq,b8g64,8.25,,11.6711,16.86,3.06,3.02,216.84812831878665,2000000000
Qwen3.5-4B,gptq,b8g128,8.13,,9.1307,13.3939,5.46,5.44,410.2384259700775,4000000000
Qwen3.5-4B,gptq,b3g32,3.51,,10.5329,14.7022,3.74,3.53,419.9095797538757,4000000000
Qwen3.5-9B,gptq,b8g128,8.13,,8.2529,11.6904,11.71,11.7,602.732262134552,9000000000
Qwen3.5-2B,gptq,b3g32,3.51,,14.2377,19.4589,2.34,2.26,220.6667387485504,2000000000
