layer,module,nbit1,gsize1,nbit2,gsize2,fnorm,memmb,params
3,self_attn.q_proj,2,32,8,128,18.512794494628906,2.5078125,8388608
3,self_attn.q_proj,2,64,8,128,22.32255744934082,2.25390625,8388608
3,self_attn.q_proj,2,128,8,128,25.81675910949707,2.126953125,8388608
3,self_attn.q_proj,3,32,8,128,7.975907802581787,3.5078125,8388608
3,self_attn.q_proj,3,64,8,128,9.6988525390625,3.25390625,8388608
3,self_attn.q_proj,3,128,8,128,11.397673606872559,3.126953125,8388608
3,self_attn.q_proj,4,32,8,128,3.7221250534057617,4.5078125,8388608
3,self_attn.q_proj,4,64,8,128,4.526688098907471,4.25390625,8388608
3,self_attn.q_proj,4,128,8,128,5.322445392608643,4.126953125,8388608
3,self_attn.q_proj,8,32,8,128,0.2251587212085724,8.5078125,8388608
3,self_attn.q_proj,8,64,8,128,0.2737371623516083,8.25390625,8388608
3,self_attn.q_proj,8,128,8,128,0.32074791193008423,8.126953125,8388608
7,self_attn.q_proj,2,32,8,128,14.465801239013672,2.5078125,8388608
7,self_attn.q_proj,2,64,8,128,17.464452743530273,2.25390625,8388608
7,self_attn.q_proj,2,128,8,128,20.35918617248535,2.126953125,8388608
7,self_attn.q_proj,3,32,8,128,6.240450382232666,3.5078125,8388608
7,self_attn.q_proj,3,64,8,128,7.608395099639893,3.25390625,8388608
7,self_attn.q_proj,3,128,8,128,9.014678001403809,3.126953125,8388608
7,self_attn.q_proj,4,32,8,128,2.9134724140167236,4.5078125,8388608
7,self_attn.q_proj,4,64,8,128,3.5556490421295166,4.25390625,8388608
7,self_attn.q_proj,4,128,8,128,4.215063095092773,4.126953125,8388608
7,self_attn.q_proj,8,32,8,128,0.1763921082019806,8.5078125,8388608
7,self_attn.q_proj,8,64,8,128,0.21495647728443146,8.25390625,8388608
7,self_attn.q_proj,8,128,8,128,0.2540857195854187,8.126953125,8388608
11,self_attn.q_proj,2,32,8,128,13.288270950317383,2.5078125,8388608
11,self_attn.q_proj,2,64,8,128,15.991981506347656,2.25390625,8388608
11,self_attn.q_proj,2,128,8,128,18.536861419677734,2.126953125,8388608
11,self_attn.q_proj,3,32,8,128,5.748047351837158,3.5078125,8388608
11,self_attn.q_proj,3,64,8,128,7.013784408569336,3.25390625,8388608
11,self_attn.q_proj,3,128,8,128,8.289031028747559,3.126953125,8388608
11,self_attn.q_proj,4,32,8,128,2.6845879554748535,4.5078125,8388608
11,self_attn.q_proj,4,64,8,128,3.2824652194976807,4.25390625,8388608
11,self_attn.q_proj,4,128,8,128,3.8936705589294434,4.126953125,8388608
11,self_attn.q_proj,8,32,8,128,0.1624067723751068,8.5078125,8388608
11,self_attn.q_proj,8,64,8,128,0.19837762415409088,8.25390625,8388608
11,self_attn.q_proj,8,128,8,128,0.23446215689182281,8.126953125,8388608
15,self_attn.q_proj,2,32,8,128,14.316961288452148,2.5078125,8388608
15,self_attn.q_proj,2,64,8,128,17.233354568481445,2.25390625,8388608
15,self_attn.q_proj,2,128,8,128,19.939882278442383,2.126953125,8388608
15,self_attn.q_proj,3,32,8,128,6.146373748779297,3.5078125,8388608
15,self_attn.q_proj,3,64,8,128,7.449357032775879,3.25390625,8388608
15,self_attn.q_proj,3,128,8,128,8.702068328857422,3.126953125,8388608
15,self_attn.q_proj,4,32,8,128,2.8674440383911133,4.5078125,8388608
15,self_attn.q_proj,4,64,8,128,3.4772868156433105,4.25390625,8388608
15,self_attn.q_proj,4,128,8,128,4.064118385314941,4.126953125,8388608
15,self_attn.q_proj,8,32,8,128,0.17362858355045319,8.5078125,8388608
15,self_attn.q_proj,8,64,8,128,0.21020086109638214,8.25390625,8388608
15,self_attn.q_proj,8,128,8,128,0.24475429952144623,8.126953125,8388608
19,self_attn.q_proj,2,32,8,128,13.332840919494629,2.5078125,8388608
19,self_attn.q_proj,2,64,8,128,16.138139724731445,2.25390625,8388608
19,self_attn.q_proj,2,128,8,128,18.723297119140625,2.126953125,8388608
19,self_attn.q_proj,3,32,8,128,5.734615802764893,3.5078125,8388608
19,self_attn.q_proj,3,64,8,128,6.984499454498291,3.25390625,8388608
19,self_attn.q_proj,3,128,8,128,8.181302070617676,3.126953125,8388608
19,self_attn.q_proj,4,32,8,128,2.6766114234924316,4.5078125,8388608
19,self_attn.q_proj,4,64,8,128,3.258589506149292,4.25390625,8388608
19,self_attn.q_proj,4,128,8,128,3.8185553550720215,4.126953125,8388608
19,self_attn.q_proj,8,32,8,128,0.16203941404819489,8.5078125,8388608
19,self_attn.q_proj,8,64,8,128,0.19711536169052124,8.25390625,8388608
19,self_attn.q_proj,8,128,8,128,0.23001718521118164,8.126953125,8388608
23,self_attn.q_proj,2,32,8,128,15.941328048706055,2.5078125,8388608
23,self_attn.q_proj,2,64,8,128,19.337936401367188,2.25390625,8388608
23,self_attn.q_proj,2,128,8,128,22.551652908325195,2.126953125,8388608
23,self_attn.q_proj,3,32,8,128,6.879687786102295,3.5078125,8388608
23,self_attn.q_proj,3,64,8,128,8.424104690551758,3.25390625,8388608
23,self_attn.q_proj,3,128,8,128,9.99289608001709,3.126953125,8388608
23,self_attn.q_proj,4,32,8,128,3.2112174034118652,4.5078125,8388608
23,self_attn.q_proj,4,64,8,128,3.93471097946167,4.25390625,8388608
23,self_attn.q_proj,4,128,8,128,4.670784950256348,4.126953125,8388608
23,self_attn.q_proj,8,32,8,128,0.19417567551136017,8.5078125,8388608
23,self_attn.q_proj,8,64,8,128,0.2377108335494995,8.25390625,8388608
23,self_attn.q_proj,8,128,8,128,0.2814796268939972,8.126953125,8388608
3,self_attn.k_proj,2,32,8,128,4.950557231903076,0.3134765625,1048576
3,self_attn.k_proj,2,64,8,128,5.876943111419678,0.28173828125,1048576
3,self_attn.k_proj,2,128,8,128,6.690675258636475,0.265869140625,1048576
3,self_attn.k_proj,3,32,8,128,2.1299970149993896,0.4384765625,1048576
3,self_attn.k_proj,3,64,8,128,2.544630765914917,0.40673828125,1048576
3,self_attn.k_proj,3,128,8,128,2.929072141647339,0.390869140625,1048576
3,self_attn.k_proj,4,32,8,128,0.9934393167495728,0.5634765625,1048576
3,self_attn.k_proj,4,64,8,128,1.1855379343032837,0.53173828125,1048576
3,self_attn.k_proj,4,128,8,128,1.3647092580795288,0.515869140625,1048576
3,self_attn.k_proj,8,32,8,128,0.06017400324344635,1.0634765625,1048576
3,self_attn.k_proj,8,64,8,128,0.07172766327857971,1.03173828125,1048576
3,self_attn.k_proj,8,128,8,128,0.08240680396556854,1.015869140625,1048576
7,self_attn.k_proj,2,32,8,128,4.51846981048584,0.3134765625,1048576
7,self_attn.k_proj,2,64,8,128,5.324532508850098,0.28173828125,1048576
7,self_attn.k_proj,2,128,8,128,6.05689001083374,0.265869140625,1048576
7,self_attn.k_proj,3,32,8,128,1.9438105821609497,0.4384765625,1048576
7,self_attn.k_proj,3,64,8,128,2.2989907264709473,0.40673828125,1048576
7,self_attn.k_proj,3,128,8,128,2.640284299850464,0.390869140625,1048576
7,self_attn.k_proj,4,32,8,128,0.9058334827423096,0.5634765625,1048576
7,self_attn.k_proj,4,64,8,128,1.0733585357666016,0.53173828125,1048576
7,self_attn.k_proj,4,128,8,128,1.2318083047866821,0.515869140625,1048576
7,self_attn.k_proj,8,32,8,128,0.05485106259584427,1.0634765625,1048576
7,self_attn.k_proj,8,64,8,128,0.06499020755290985,1.03173828125,1048576
7,self_attn.k_proj,8,128,8,128,0.07433031499385834,1.015869140625,1048576
11,self_attn.k_proj,2,32,8,128,4.760910987854004,0.3134765625,1048576
11,self_attn.k_proj,2,64,8,128,5.643840789794922,0.28173828125,1048576
11,self_attn.k_proj,2,128,8,128,6.423271656036377,0.265869140625,1048576
11,self_attn.k_proj,3,32,8,128,2.0533320903778076,0.4384765625,1048576
11,self_attn.k_proj,3,64,8,128,2.450748920440674,0.40673828125,1048576
11,self_attn.k_proj,3,128,8,128,2.830265998840332,0.390869140625,1048576
11,self_attn.k_proj,4,32,8,128,0.957874059677124,0.5634765625,1048576
11,self_attn.k_proj,4,64,8,128,1.1454826593399048,0.53173828125,1048576
11,self_attn.k_proj,4,128,8,128,1.3238391876220703,0.515869140625,1048576
11,self_attn.k_proj,8,32,8,128,0.05807948112487793,1.0634765625,1048576
11,self_attn.k_proj,8,64,8,128,0.06930366903543472,1.03173828125,1048576
11,self_attn.k_proj,8,128,8,128,0.07983660697937012,1.015869140625,1048576
15,self_attn.k_proj,2,32,8,128,4.812682151794434,0.3134765625,1048576
15,self_attn.k_proj,2,64,8,128,5.731106281280518,0.28173828125,1048576
15,self_attn.k_proj,2,128,8,128,6.550561904907227,0.265869140625,1048576
15,self_attn.k_proj,3,32,8,128,2.0708038806915283,0.4384765625,1048576
15,self_attn.k_proj,3,64,8,128,2.4829585552215576,0.40673828125,1048576
15,self_attn.k_proj,3,128,8,128,2.8756418228149414,0.390869140625,1048576
15,self_attn.k_proj,4,32,8,128,0.9646938443183899,0.5634765625,1048576
15,self_attn.k_proj,4,64,8,128,1.1573688983917236,0.53173828125,1048576
15,self_attn.k_proj,4,128,8,128,1.3420617580413818,0.515869140625,1048576
15,self_attn.k_proj,8,32,8,128,0.058459293097257614,1.0634765625,1048576
15,self_attn.k_proj,8,64,8,128,0.0700141116976738,1.03173828125,1048576
15,self_attn.k_proj,8,128,8,128,0.08082887530326843,1.015869140625,1048576
19,self_attn.k_proj,2,32,8,128,4.491574287414551,0.3134765625,1048576
19,self_attn.k_proj,2,64,8,128,5.325009346008301,0.28173828125,1048576
19,self_attn.k_proj,2,128,8,128,6.074485778808594,0.265869140625,1048576
19,self_attn.k_proj,3,32,8,128,1.930957317352295,0.4384765625,1048576
19,self_attn.k_proj,3,64,8,128,2.300340175628662,0.40673828125,1048576
19,self_attn.k_proj,3,128,8,128,2.649479866027832,0.390869140625,1048576
19,self_attn.k_proj,4,32,8,128,0.8994279503822327,0.5634765625,1048576
19,self_attn.k_proj,4,64,8,128,1.0732747316360474,0.53173828125,1048576
19,self_attn.k_proj,4,128,8,128,1.238558292388916,0.515869140625,1048576
19,self_attn.k_proj,8,32,8,128,0.05456778034567833,1.0634765625,1048576
19,self_attn.k_proj,8,64,8,128,0.06496836990118027,1.03173828125,1048576
19,self_attn.k_proj,8,128,8,128,0.07456975430250168,1.015869140625,1048576
23,self_attn.k_proj,2,32,8,128,4.164576053619385,0.3134765625,1048576
23,self_attn.k_proj,2,64,8,128,4.945943832397461,0.28173828125,1048576
23,self_attn.k_proj,2,128,8,128,5.631621360778809,0.265869140625,1048576
23,self_attn.k_proj,3,32,8,128,1.7949086427688599,0.4384765625,1048576
23,self_attn.k_proj,3,64,8,128,2.1461124420166016,0.40673828125,1048576
23,self_attn.k_proj,3,128,8,128,2.4774601459503174,0.390869140625,1048576
23,self_attn.k_proj,4,32,8,128,0.8389034867286682,0.5634765625,1048576
23,self_attn.k_proj,4,64,8,128,1.0016039609909058,0.53173828125,1048576
23,self_attn.k_proj,4,128,8,128,1.155631422996521,0.515869140625,1048576
23,self_attn.k_proj,8,32,8,128,0.050673145800828934,1.0634765625,1048576
23,self_attn.k_proj,8,64,8,128,0.060555584728717804,1.03173828125,1048576
23,self_attn.k_proj,8,128,8,128,0.06970201432704926,1.015869140625,1048576
3,self_attn.v_proj,2,32,8,128,4.825697422027588,0.3134765625,1048576
3,self_attn.v_proj,2,64,8,128,5.732304573059082,0.28173828125,1048576
3,self_attn.v_proj,2,128,8,128,6.563165664672852,0.265869140625,1048576
3,self_attn.v_proj,3,32,8,128,2.075796127319336,0.4384765625,1048576
3,self_attn.v_proj,3,64,8,128,2.485924482345581,0.40673828125,1048576
3,self_attn.v_proj,3,128,8,128,2.881340503692627,0.390869140625,1048576
3,self_attn.v_proj,4,32,8,128,0.9677289724349976,0.5634765625,1048576
