module,layer,param_count,kurtosis
self_attn.q_proj,3,20971520,4.2241707
self_attn.q_proj,7,20971520,4.2387505
self_attn.q_proj,11,20971520,4.3818903
self_attn.q_proj,15,20971520,4.611071
self_attn.q_proj,19,20971520,4.436875
self_attn.q_proj,23,20971520,4.1424675
self_attn.q_proj,27,20971520,4.606286
self_attn.q_proj,31,20971520,4.9054937
self_attn.k_proj,3,2621440,4.213486
self_attn.k_proj,7,2621440,4.814508
self_attn.k_proj,11,2621440,4.7622924
self_attn.k_proj,15,2621440,5.1541395
self_attn.k_proj,19,2621440,4.834249
self_attn.k_proj,23,2621440,6.239466
self_attn.k_proj,27,2621440,7.3231363
self_attn.k_proj,31,2621440,8.749711
self_attn.v_proj,3,2621440,4.064374
self_attn.v_proj,7,2621440,4.1348076
self_attn.v_proj,11,2621440,4.3226266
self_attn.v_proj,15,2621440,3.71155
self_attn.v_proj,19,2621440,5.1675496
self_attn.v_proj,23,2621440,4.70451
self_attn.v_proj,27,2621440,7.652606
self_attn.v_proj,31,2621440,8.229175
self_attn.o_proj,3,10485760,4.7894897
self_attn.o_proj,7,10485760,4.5130463
self_attn.o_proj,11,10485760,3.9944143
self_attn.o_proj,15,10485760,3.820682
self_attn.o_proj,19,10485760,4.2049084
self_attn.o_proj,23,10485760,4.8147054
self_attn.o_proj,27,10485760,4.792455
self_attn.o_proj,31,10485760,5.1659813
mlp.gate_proj,0,23592960,3.2974632
mlp.gate_proj,1,23592960,3.328555
mlp.gate_proj,2,23592960,3.1686535
mlp.gate_proj,3,23592960,3.1659315
mlp.gate_proj,4,23592960,3.2125545
mlp.gate_proj,5,23592960,3.2694871
mlp.gate_proj,6,23592960,3.6129935
mlp.gate_proj,7,23592960,3.3894136
mlp.gate_proj,8,23592960,3.3636513
mlp.gate_proj,9,23592960,3.4159606
mlp.gate_proj,10,23592960,3.6819978
mlp.gate_proj,11,23592960,3.6022391
mlp.gate_proj,12,23592960,3.666839
mlp.gate_proj,13,23592960,3.6816695
mlp.gate_proj,14,23592960,3.8296435
mlp.gate_proj,15,23592960,3.9527893
mlp.gate_proj,16,23592960,4.2507696
mlp.gate_proj,17,23592960,4.654102
mlp.gate_proj,18,23592960,6.413263
mlp.gate_proj,19,23592960,5.101733
mlp.gate_proj,20,23592960,4.734236
mlp.gate_proj,21,23592960,4.8065434
mlp.gate_proj,22,23592960,4.899424
mlp.gate_proj,23,23592960,4.0722384
mlp.gate_proj,24,23592960,3.8539941
mlp.gate_proj,25,23592960,3.8051662
mlp.gate_proj,26,23592960,3.790553
mlp.gate_proj,27,23592960,3.9093523
mlp.gate_proj,28,23592960,4.1497774
mlp.gate_proj,29,23592960,4.431751
mlp.gate_proj,30,23592960,4.644228
mlp.gate_proj,31,23592960,5.0729914
mlp.down_proj,0,23592960,4.1788287
mlp.down_proj,1,23592960,5.183438
mlp.down_proj,2,23592960,4.8702726
mlp.down_proj,3,23592960,4.094794
mlp.down_proj,4,23592960,3.776569
mlp.down_proj,5,23592960,3.9321952
mlp.down_proj,6,23592960,4.290061
mlp.down_proj,7,23592960,3.8892412
mlp.down_proj,8,23592960,3.8702512
mlp.down_proj,9,23592960,3.9653711
mlp.down_proj,10,23592960,3.7643397
mlp.down_proj,11,23592960,3.823512
mlp.down_proj,12,23592960,3.667815
mlp.down_proj,13,23592960,3.8127332
mlp.down_proj,14,23592960,3.8087049
mlp.down_proj,15,23592960,3.846043
mlp.down_proj,16,23592960,3.9428983
mlp.down_proj,17,23592960,3.7575262
mlp.down_proj,18,23592960,4.2148013
mlp.down_proj,19,23592960,3.9195645
mlp.down_proj,20,23592960,3.5805154
mlp.down_proj,21,23592960,3.4715824
mlp.down_proj,22,23592960,3.895759
mlp.down_proj,23,23592960,3.8032377
mlp.down_proj,24,23592960,3.5485232
mlp.down_proj,25,23592960,3.8644943
mlp.down_proj,26,23592960,3.7333553
mlp.down_proj,27,23592960,4.4938793
mlp.down_proj,28,23592960,3.5589302
mlp.down_proj,29,23592960,3.5593677
mlp.down_proj,30,23592960,4.2235174
mlp.down_proj,31,23592960,5.009318
mlp.up_proj,0,23592960,3.0856886
mlp.up_proj,1,23592960,3.150299
mlp.up_proj,2,23592960,3.1216319
mlp.up_proj,3,23592960,3.1167743
mlp.up_proj,4,23592960,3.142495
mlp.up_proj,5,23592960,3.166946
mlp.up_proj,6,23592960,3.3613558
mlp.up_proj,7,23592960,3.1909568
mlp.up_proj,8,23592960,3.2029853
mlp.up_proj,9,23592960,3.238917
mlp.up_proj,10,23592960,3.3739104
mlp.up_proj,11,23592960,3.3176525
mlp.up_proj,12,23592960,3.3252258
mlp.up_proj,13,23592960,3.3404825
mlp.up_proj,14,23592960,3.3919573
mlp.up_proj,15,23592960,3.4019206
mlp.up_proj,16,23592960,3.4329634
mlp.up_proj,17,23592960,3.4425092
mlp.up_proj,18,23592960,3.715751
mlp.up_proj,19,23592960,3.511063
mlp.up_proj,20,23592960,3.3156643
mlp.up_proj,21,23592960,3.3261914
mlp.up_proj,22,23592960,3.362386
mlp.up_proj,23,23592960,3.2521298
mlp.up_proj,24,23592960,3.1905527
mlp.up_proj,25,23592960,3.1841905
mlp.up_proj,26,23592960,3.2066782
mlp.up_proj,27,23592960,3.2512887
mlp.up_proj,28,23592960,3.2442937
mlp.up_proj,29,23592960,3.2980657
mlp.up_proj,30,23592960,3.3938394
mlp.up_proj,31,23592960,3.6801162
