model,method,config,bpp,ppl_wikitext,memory
Llama-2-13b-hf,HQQ+,b1g8,3.03,9.2214,9.71
Llama-2-13b-hf,KB11,b1g8,3.03,9.1528,9.74
Llama-2-13b-hf,KB12,b1g8,3.03,9.0857,9.76
Llama-2-13b-hf,KB21,b1g8,3.03,9.2896,9.78
Llama-2-13b-hf,KB22,b1g8,3.03,9.1713,9.85
Llama-2-13b-hf,HQQ+,b2g8,4.03,4.9308,11.19
Llama-2-13b-hf,KB11,b2g8,4.03,4.9358,11.21
Llama-2-13b-hf,KB12,b2g8,4.03,4.9298,11.23
Llama-2-13b-hf,KB21,b2g8,4.03,4.9338,11.26
Llama-2-13b-hf,KB22,b2g8,4.03,4.935,11.32
Llama-2-13b-hf,FP16,base,16,4.6293,20.97
Llama-2-7b-hf,HQQ+,b1g8,3.03,12.3362,5.47
Llama-2-7b-hf,KB11,b1g8,3.03,12.4651,5.49
Llama-2-7b-hf,KB12,b1g8,3.03,12.1005,5.51
Llama-2-7b-hf,KB21,b1g8,3.03,12.3578,5.53
Llama-2-7b-hf,KB22,b1g8,3.03,12.2492,5.59
Llama-2-7b-hf,HQQ+,b2g8,4.03,5.5207,6.21
Llama-2-7b-hf,KB11,b2g8,4.03,5.5378,6.23
Llama-2-7b-hf,KB12,b2g8,4.03,5.5268,6.25
Llama-2-7b-hf,KB21,b2g8,4.03,5.5105,6.27
Llama-2-7b-hf,KB22,b2g8,4.03,5.5177,6.33
Llama-2-7b-hf,FP16,base,16,5.1842,13.38
Meta-Llama-3-8B,HQQ+,b1g8,3.03,22.7165,8.28
Meta-Llama-3-8B,KB11,b1g8,3.03,22.5055,8.29
Meta-Llama-3-8B,KB12,b1g8,3.03,22.685,8.29
Meta-Llama-3-8B,KB21,b1g8,3.03,22.5916,8.31
Meta-Llama-3-8B,KB22,b1g8,3.03,22.6395,8.32
Meta-Llama-3-8B,HQQ+,b2g8,4.03,7.3713,9.06
Meta-Llama-3-8B,KB11,b2g8,4.03,7.3684,9.07
Meta-Llama-3-8B,KB12,b2g8,4.03,7.3682,9.08
Meta-Llama-3-8B,KB21,b2g8,4.03,7.3614,9.09
Meta-Llama-3-8B,KB22,b2g8,4.03,7.372,9.11
Meta-Llama-3-8B,FP16,base,16,5.8116,16.33
