model,algo,attempt,config,bpp,zeroshot_mem_allot,zeroshot_mem_reserved,acc1_zeroshot_cls,acc5_zeroshot_cls,recall_zeroshot_cls,duration_zeroshot_cls
CLIP-ViT-B-32-laion2B-s34B-b79K,fp16,baseline,base,16,862.0673828125,5942,0.66532,0.89882,0.6654800000000001,54.124242544174194
CLIP-ViT-B-32-laion2B-s34B-b79K,hqq,baseline,b2g16,3.02,373.853515625,460,0.2082,0.42142,0.20824,55.14433717727661
CLIP-ViT-B-32-laion2B-s34B-b79K,hqq,baseline,b2g32,2.51,362.228515625,456,0.03466,0.10196,0.0346599999999999,54.75286030769348
CLIP-ViT-B-32-laion2B-s34B-b79K,hqq,baseline,b2g64,2.25,369.134765625,456,0.00432,0.01842,0.0043199999999999,55.80807495117188
CLIP-ViT-B-32-laion2B-s34B-b79K,hqq,baseline,b3g128,3.13,381.53125,468,0.48216,0.75936,0.48212,56.00787878036499
CLIP-ViT-B-32-laion2B-s34B-b79K,hqq,baseline,b3g32,3.51,382.21875,468,0.59646,0.85714,0.5963800000000001,55.54851007461548
CLIP-ViT-B-32-laion2B-s34B-b79K,hqq,baseline,b3g64,3.25,388.3125,442,0.55212,0.8225,0.5520999999999999,57.35019063949585
CLIP-ViT-B-32-laion2B-s34B-b79K,hqq,baseline,b4g128,4.13,397.478515625,448,0.6336,0.88038,0.63378,53.90521550178528
CLIP-ViT-B-32-laion2B-s34B-b79K,hqq,baseline,b4g32,4.51,400.541015625,448,0.65104,0.89042,0.65104,56.800326347351074
CLIP-ViT-B-32-laion2B-s34B-b79K,hqq,baseline,b4g64,4.25,431.353515625,492,0.64332,0.8853,0.64356,54.11960005760193
CLIP-ViT-B-32-laion2B-s34B-b79K,hqq,baseline,b8g128,8.13,468.16259765625,632,0.66534,0.89942,0.6654200000000001,54.73881721496582
CLIP-ViT-B-32-laion2B-s34B-b79K,hqq,baseline,b8g32,8.51,469.93798828125,1902,0.6654,0.89884,0.66546,55.15560293197632
CLIP-ViT-B-32-laion2B-s34B-b79K,hqq,baseline,b8g64,8.25,1760.0185546875,2858,0.66554,0.89904,0.6655399999999999,57.52722120285034
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-1-1,2_13,2.13,357.791015625,434,0.0043,0.01752,0.00426,55.03505182266235
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-1-1,2_25,2.25,364.341796875,444,0.01932,0.05584,0.0192199999999999,54.19695472717285
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-1-1,2_51,2.51,372.072265625,454,0.0762,0.1921,0.07612,55.12739706039429
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-1-1,3_13,3.13,377.28125,460,0.457,0.73358,0.45686,55.96232318878174
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-1-1,3_25,3.25,383.48046875,460,0.5243,0.79824,0.52446,55.87840628623962
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-1-1,3_51,3.51,392,456,0.57196,0.83854,0.5720599999999999,55.05967998504639
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-1-1,4_13,4.13,393.353515625,440,0.63292,0.88094,0.6328600000000001,54.56093382835388
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-1-1,4_25,4.25,401.853515625,450,0.64286,0.88546,0.64288,54.08096265792847
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-1-1,4_51,4.51,433.791015625,502,0.65226,0.89102,0.65226,54.92829847335816
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-1-1,8_13,8.13,463.97509765625,572,0.6655,0.89898,0.6654200000000001,55.55200386047363
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-1-1,8_25,8.25,466.61279296875,1772,0.66518,0.89902,0.66534,54.99694395065308
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-1-1,8_51,8.51,1634.81591796875,2716,0.66554,0.899,0.6656,55.22750163078308
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-1-2,2_13,2.13,357.291015625,438,0.0043,0.01752,0.00426,55.08006310462952
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-1-2,2_25,2.25,363.841796875,454,0.01932,0.05584,0.0192199999999999,54.21262216567993
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-1-2,2_51,2.51,372.572265625,454,0.0762,0.1921,0.07612,54.60009908676148
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-1-2,3_13,3.13,376.78125,470,0.457,0.73358,0.45686,56.13269090652466
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-1-2,3_25,3.25,383.10546875,470,0.5243,0.79824,0.52446,54.91529965400696
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-1-2,3_51,3.51,391,444,0.57196,0.83854,0.5720599999999999,56.19178128242493
