model,algo,config,config_detail,quant_duration,load_mem_allot,load_mem_reserved,zeroshot_mem_allot,zeroshot_mem_reserved,linear_probe_mem_allot,linear_probe_mem_reserved,acc1_zeroshot_cls,acc5_zeroshot_cls,recall_zeroshot_cls,duration_zeroshot_cls,acc1_linear_probe,acc5_linear_probe,recall_linear_probe,duration_linear_probe
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,2_13,"{'offload_meta': False, 'mixed': True, 'budget': 2.13}",0,0,0,375957504,459276288,0,0,0.0043,0.01752,0.00426,55.34034872055054,0,0,0,0
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,2_51,"{'offload_meta': False, 'mixed': True, 'budget': 2.51}",0,0,0,2160254464,2946498560,0,0,0.70892,0.92306,0.70906,234.632972240448,0,0,0,0
CLIP-ViT-L-14-laion2B-s32B-b82K,mxq,2_13,"{'offload_meta': False, 'mixed': True, 'budget': 2.13}",0,0,0,1130931712,1587544064,0,0,0.39352,0.6662,0.39332,117.6709611415863,0,0,0,0
CLIP-ViT-L-14-laion2B-s32B-b82K,mxq,4_13,"{'offload_meta': False, 'mixed': True, 'budget': 4.13}",0,0,0,1202959872,1686110208,0,0,0.74826,0.94002,0.74828,117.20019936561584,0,0,0,0
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,3_25,"{'offload_meta': False, 'mixed': True, 'budget': 3.25}",0,0,0,2214660608,3021996032,0,0,0.76738,0.94776,0.76734,238.0429117679596,0,0,0,0
CLIP-ViT-L-14-laion2B-s32B-b82K,mxq,8_51,"{'offload_meta': False, 'mixed': True, 'budget': 8.51}",0,0,0,1349957120,1772093440,0,0,0.75252,0.94248,0.7525400000000001,117.67180800437929,0,0,0,0
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,3_13,"{'offload_meta': False, 'mixed': True, 'budget': 3.13}",0,0,0,2203912192,3007315968,0,0,0.76482,0.94642,0.76486,238.82331466674805,0,0,0,0
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,2_13,"{'offload_meta': False, 'mixed': True, 'budget': 2.13}",0,0,0,2098178560,2887778304,0,0,0.55622,0.81824,0.55626,234.7348837852478,0,0,0,0
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,8_25,"{'offload_meta': False, 'mixed': True, 'budget': 8.25}",0,0,0,489658880,1839202304,0,0,0.66518,0.89902,0.66534,55.9726881980896,0,0,0,0
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,3_51,"{'offload_meta': False, 'mixed': True, 'budget': 3.51}",0,0,0,408813568,461373440,0,0,0.57196,0.83854,0.5720599999999999,56.02704834938049,0,0,0,0
CLIP-ViT-L-14-laion2B-s32B-b82K,mxq,3_51,"{'offload_meta': False, 'mixed': True, 'budget': 3.51}",0,0,0,1197981696,1681915904,0,0,0.73808,0.93688,0.7379199999999999,119.6206398010254,0,0,0,0
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,4_25,"{'offload_meta': False, 'mixed': True, 'budget': 4.25}",0,0,0,421636096,488636416,0,0,0.64286,0.88546,0.64288,55.47993731498718,0,0,0,0
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,8_13,"{'offload_meta': False, 'mixed': True, 'budget': 8.13}",0,0,0,2849762816,3804233728,0,0,0.77946,0.95228,0.77938,233.27066659927368,0,0,0,0
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,8_13,"{'offload_meta': False, 'mixed': True, 'budget': 8.13}",0,0,0,492018176,652214272,0,0,0.6655,0.89898,0.6654200000000001,55.07723832130432,0,0,0,0
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,4_13,"{'offload_meta': False, 'mixed': True, 'budget': 4.13}",0,0,0,2249508352,3210739712,0,0,0.77722,0.9516,0.7770199999999999,233.41958928108212,0,0,0,0
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,4_13,"{'offload_meta': False, 'mixed': True, 'budget': 4.13}",0,0,0,412329984,478150656,0,0,0.63292,0.88094,0.6328600000000001,54.22870755195618,0,0,0,0
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,2_25,"{'offload_meta': False, 'mixed': True, 'budget': 2.25}",0,0,0,380991488,469762048,0,0,0.01932,0.05584,0.0192199999999999,54.74253058433533,0,0,0,0
CLIP-ViT-L-14-laion2B-s32B-b82K,mxq,4_25,"{'offload_meta': False, 'mixed': True, 'budget': 4.25}",0,0,0,1208849920,1803550720,0,0,0.74896,0.94004,0.74898,117.45130038261414,0,0,0,0
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,4_25,"{'offload_meta': False, 'mixed': True, 'budget': 4.25}",0,0,0,2314661376,3525312512,0,0,0.77738,0.9514,0.7775400000000001,233.82289099693295,0,0,0,0
CLIP-ViT-L-14-laion2B-s32B-b82K,mxq,3_13,"{'offload_meta': False, 'mixed': True, 'budget': 3.13}",0,0,0,1179538944,1627389952,0,0,0.72764,0.93062,0.7275,119.41356253623962,0,0,0,0
CLIP-ViT-L-14-laion2B-s32B-b82K,mxq,2_25,"{'offload_meta': False, 'mixed': True, 'budget': 2.25}",0,0,0,1140823552,1633681408,0,0,0.52244,0.79704,0.52248,117.61244058609007,0,0,0,0
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,2_25,"{'offload_meta': False, 'mixed': True, 'budget': 2.25}",0,0,0,2118711808,2931818496,0,0,0.6555,0.8932,0.6553199999999999,233.7819263935089,0,0,0,0
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,8_51,"{'offload_meta': False, 'mixed': True, 'budget': 8.51}",0,0,0,1715466752,2789212160,0,0,0.66554,0.899,0.6656,55.54256677627564,0,0,0,0
CLIP-ViT-L-14-laion2B-s32B-b82K,mxq,2_51,"{'offload_meta': False, 'mixed': True, 'budget': 2.51}",0,0,0,1159173632,1633681408,0,0,0.62352,0.87126,0.62314,118.53554153442384,0,0,0,0
