model,algo,config,config_detail,quant_duration,load_mem_allot,load_mem_reserved,zeroshot_mem_allot,zeroshot_mem_reserved,linear_probe_mem_allot,linear_probe_mem_reserved,acc1_zeroshot_cls,acc5_zeroshot_cls,recall_zeroshot_cls,duration_zeroshot_cls,acc1_linear_probe,acc5_linear_probe,recall_linear_probe,duration_linear_probe
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,2_51,"{'offload_meta': False, 'mixed': True, 'budget': 2.51}",0,0,0,2135614976,2707423232,0,0,0.6672,0.8954,0.66714,239.17236638069156,0,0,0,0
CLIP-ViT-L-14-laion2B-s32B-b82K,mxq,4_13,"{'offload_meta': False, 'mixed': True, 'budget': 4.13}",0,0,0,1201739264,1644167168,0,0,0.7485,0.9392,0.74854,117.77411460876463,0,0,0,0
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,3_25,"{'offload_meta': False, 'mixed': True, 'budget': 3.25}",0,0,0,2207029760,2770337792,0,0,0.76308,0.9455,0.76328,237.53350639343265,0,0,0,0
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,3_02,"{'offload_meta': False, 'mixed': True, 'budget': 3.02}",0,0,0,367223296,501219328,0,0,0.2697,0.51078,0.26952,56.879403829574585,0,0,0,0
CLIP-ViT-L-14-laion2B-s32B-b82K,mxq,8_51,"{'offload_meta': False, 'mixed': True, 'budget': 8.51}",0,0,0,1349957120,1772093440,0,0,0.75252,0.94248,0.7525400000000001,116.98336672782898,0,0,0,0
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,3_13,"{'offload_meta': False, 'mixed': True, 'budget': 3.13}",0,0,0,2193773056,2759852032,0,0,0.74566,0.93924,0.7459199999999999,237.48220205307007,0,0,0,0
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,8_25,"{'offload_meta': False, 'mixed': True, 'budget': 8.25}",0,0,0,419428864,557842432,0,0,0.66548,0.89894,0.66538,56.111106872558594,0,0,0,0
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,3_51,"{'offload_meta': False, 'mixed': True, 'budget': 3.51}",0,0,0,372845056,505413632,0,0,0.5535,0.82272,0.55314,56.18411183357239,0,0,0,0
CLIP-ViT-L-14-laion2B-s32B-b82K,mxq,3_51,"{'offload_meta': False, 'mixed': True, 'budget': 3.51}",0,0,0,1189258752,1633681408,0,0,0.73882,0.93582,0.73924,118.75483965873718,0,0,0,0
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,4_25,"{'offload_meta': False, 'mixed': True, 'budget': 4.25}",0,0,0,381520384,522190848,0,0,0.64192,0.88386,0.64176,56.01872658729553,0,0,0,0
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,8_13,"{'offload_meta': False, 'mixed': True, 'budget': 8.13}",0,0,0,2557028864,3147825152,0,0,0.77942,0.95232,0.7793600000000002,232.39801144599917,0,0,0,0
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,8_13,"{'offload_meta': False, 'mixed': True, 'budget': 8.13}",0,0,0,416987648,555745280,0,0,0.6656,0.89912,0.66544,55.688902139663696,0,0,0,0
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,4_13,"{'offload_meta': False, 'mixed': True, 'budget': 4.13}",0,0,0,2260937216,2835349504,0,0,0.7765,0.95116,0.77652,233.96416974067688,0,0,0,0
CLIP-ViT-L-14-laion2B-s32B-b82K,mxq,3_02,"{'offload_meta': False, 'mixed': True, 'budget': 3.02}",0,0,0,1168482816,1612709888,0,0,0.69384,0.91474,0.6938799999999998,119.34465980529784,0,0,0,0
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,4_13,"{'offload_meta': False, 'mixed': True, 'budget': 4.13}",0,0,0,381110784,511705088,0,0,0.63496,0.8789,0.6351,56.23494553565979,0,0,0,0
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,3_02,"{'offload_meta': False, 'mixed': True, 'budget': 3.02}",0,0,0,2182033408,2745171968,0,0,0.73278,0.93266,0.7329600000000001,237.3683316707611,0,0,0,0
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,2_25,"{'offload_meta': False, 'mixed': True, 'budget': 2.25}",0,0,0,357886464,490733568,0,0,0.00744,0.02638,0.00742,56.83867740631104,0,0,0,0
CLIP-ViT-L-14-laion2B-s32B-b82K,mxq,4_25,"{'offload_meta': False, 'mixed': True, 'budget': 4.25}",0,0,0,1206294016,1644167168,0,0,0.74918,0.94108,0.7493,117.05796694755554,0,0,0,0
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,4_25,"{'offload_meta': False, 'mixed': True, 'budget': 4.25}",0,0,0,2269899264,2845835264,0,0,0.77686,0.95106,0.77656,232.51643896102905,0,0,0,0
CLIP-ViT-L-14-laion2B-s32B-b82K,mxq,3_13,"{'offload_meta': False, 'mixed': True, 'budget': 3.13}",0,0,0,1174623744,1619001344,0,0,0.70732,0.92302,0.7073400000000001,119.57395553588869,0,0,0,0
CLIP-ViT-L-14-laion2B-s32B-b82K,mxq,2_25,"{'offload_meta': False, 'mixed': True, 'budget': 2.25}",0,0,0,1137868288,1581252608,0,0,0.5212,0.79428,0.52112,122.62862038612366,0,0,0,0
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,2_25,"{'offload_meta': False, 'mixed': True, 'budget': 2.25}",0,0,0,2109329920,2680160256,0,0,0.61036,0.8616,0.61022,234.20056343078613,0,0,0,0
