model,module,layer,memmb,param_cnt,bit_budget,b1,g1,b2,g2,params_quant_tot,params_all_tot
Qwen3.5-9B,linear_attn.in_proj_a,13,0.265869140625,524288,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,self_attn.k_proj,27,8.5078125,16777216,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.in_proj_z,24,34.03125,67108864,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.out_proj,26,34.03125,67108864,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.out_proj,25,34.03125,67108864,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,mlp.gate_proj,24,102.09375,201326592,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,mlp.down_proj,30,102.09375,201326592,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,mlp.down_proj,18,102.09375,201326592,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.in_proj_z,6,34.03125,67108864,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.in_proj_b,16,0.265869140625,524288,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,mlp.down_proj,27,102.09375,201326592,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.out_proj,21,34.03125,67108864,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,mlp.down_proj,19,102.09375,201326592,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.in_proj_z,30,34.03125,67108864,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.in_proj_a,14,0.265869140625,524288,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.in_proj_qkv,26,68.0625,134217728,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.in_proj_z,26,34.03125,67108864,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,self_attn.v_proj,23,8.5078125,16777216,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,mlp.down_proj,12,102.09375,201326592,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.in_proj_a,20,0.265869140625,524288,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,mlp.down_proj,13,102.09375,201326592,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,self_attn.q_proj,23,68.0625,134217728,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,mlp.down_proj,26,102.09375,201326592,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,self_attn.o_proj,3,34.03125,67108864,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,self_attn.k_proj,3,8.5078125,16777216,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,self_attn.q_proj,19,68.0625,134217728,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,self_attn.k_proj,31,8.5078125,16777216,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,mlp.up_proj,11,102.09375,201326592,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,mlp.up_proj,8,102.09375,201326592,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.in_proj_b,6,0.265869140625,524288,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.in_proj_z,2,34.03125,67108864,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,mlp.up_proj,5,102.09375,201326592,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,self_attn.o_proj,23,34.03125,67108864,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,mlp.gate_proj,16,102.09375,201326592,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.in_proj_b,30,0.265869140625,524288,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,mlp.down_proj,6,102.09375,201326592,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,self_attn.q_proj,31,68.0625,134217728,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,mlp.down_proj,29,102.09375,201326592,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.in_proj_b,14,0.265869140625,524288,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.in_proj_a,21,0.265869140625,524288,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,mlp.up_proj,9,102.09375,201326592,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.in_proj_z,17,34.03125,67108864,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,mlp.gate_proj,11,102.09375,201326592,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.in_proj_z,16,34.03125,67108864,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.in_proj_qkv,2,68.0625,134217728,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.in_proj_z,4,34.03125,67108864,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,mlp.gate_proj,14,102.09375,201326592,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,mlp.up_proj,1,102.09375,201326592,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.out_proj,9,34.03125,67108864,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.out_proj,29,34.03125,67108864,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,mlp.down_proj,0,102.09375,201326592,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.in_proj_a,24,0.265869140625,524288,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.in_proj_qkv,13,68.0625,134217728,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,mlp.gate_proj,15,102.09375,201326592,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.in_proj_qkv,12,68.0625,134217728,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,mlp.up_proj,23,102.09375,201326592,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.in_proj_a,28,0.265869140625,524288,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,self_attn.o_proj,27,34.03125,67108864,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.in_proj_a,1,0.265869140625,524288,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,mlp.down_proj,23,102.09375,201326592,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.in_proj_b,24,0.265869140625,524288,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,mlp.down_proj,28,102.09375,201326592,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,mlp.up_proj,3,102.09375,201326592,4.25,4,64,8,128,27674017792,29709315072
