layer,module,nbit1,gsize1,nbit2,gsize2,fnorm,memmb,params,kurtosis
0,vision.mlp.c_fc,2,32,8,128,9.128504753112791,0.705322265625,2359296,7.5647333557116845
0,vision.mlp.c_fc,2,64,8,128,10.76142692565918,0.6339111328125,2359296,7.5647333557116845
0,vision.mlp.c_fc,2,128,8,128,12.15142059326172,0.59820556640625,2359296,7.5647333557116845
0,vision.mlp.c_fc,3,32,8,128,4.122710227966309,0.986572265625,2359296,7.5647333557116845
0,vision.mlp.c_fc,3,64,8,128,5.038382530212402,0.9151611328125,2359296,7.5647333557116845
0,vision.mlp.c_fc,3,128,8,128,5.910652160644531,0.87945556640625,2359296,7.5647333557116845
0,vision.mlp.c_fc,4,32,8,128,1.938106060028076,1.267822265625,2359296,7.5647333557116845
0,vision.mlp.c_fc,4,64,8,128,2.3859243392944336,1.1964111328125,2359296,7.5647333557116845
0,vision.mlp.c_fc,4,128,8,128,2.824324131011963,1.16070556640625,2359296,7.5647333557116845
0,vision.mlp.c_fc,8,32,8,128,0.11737483739852904,2.392822265625,2359296,7.5647333557116845
0,vision.mlp.c_fc,8,64,8,128,0.14461086690425873,2.3214111328125,2359296,7.5647333557116845
0,vision.mlp.c_fc,8,128,8,128,0.171279177069664,2.28570556640625,2359296,7.5647333557116845
0,vision.mlp.c_proj,2,32,8,128,6.839951992034912,0.705322265625,2359296,8.024042788345657
0,vision.mlp.c_proj,2,64,8,128,8.144723892211914,0.6339111328125,2359296,8.024042788345657
0,vision.mlp.c_proj,2,128,8,128,9.282066345214844,0.59820556640625,2359296,8.024042788345657
0,vision.mlp.c_proj,3,32,8,128,2.976739406585694,0.986572265625,2359296,8.024042788345657
0,vision.mlp.c_proj,3,64,8,128,3.607946395874023,0.9151611328125,2359296,8.024042788345657
0,vision.mlp.c_proj,3,128,8,128,4.226345539093018,0.87945556640625,2359296,8.024042788345657
0,vision.mlp.c_proj,4,32,8,128,1.3918942213058472,1.267822265625,2359296,8.024042788345657
0,vision.mlp.c_proj,4,64,8,128,1.6903578042984009,1.1964111328125,2359296,8.024042788345657
0,vision.mlp.c_proj,4,128,8,128,1.9883592128753664,1.16070556640625,2359296,8.024042788345657
0,vision.mlp.c_proj,8,32,8,128,0.0842554122209549,2.392822265625,2359296,8.024042788345657
0,vision.mlp.c_proj,8,64,8,128,0.10231027752161026,2.3214111328125,2359296,8.024042788345657
0,vision.mlp.c_proj,8,128,8,128,0.11994849145412444,2.28570556640625,2359296,8.024042788345657
1,vision.mlp.c_fc,2,32,8,128,9.103703498840332,0.705322265625,2359296,5.556482388585281
1,vision.mlp.c_fc,2,64,8,128,10.854814529418944,0.6339111328125,2359296,5.556482388585281
1,vision.mlp.c_fc,2,128,8,128,12.433868408203123,0.59820556640625,2359296,5.556482388585281
1,vision.mlp.c_fc,3,32,8,128,4.004519939422607,0.986572265625,2359296,5.556482388585281
1,vision.mlp.c_fc,3,64,8,128,4.869235992431641,0.9151611328125,2359296,5.556482388585281
1,vision.mlp.c_fc,3,128,8,128,5.696018218994141,0.87945556640625,2359296,5.556482388585281
1,vision.mlp.c_fc,4,32,8,128,1.875130295753479,1.267822265625,2359296,5.556482388585281
1,vision.mlp.c_fc,4,64,8,128,2.288634777069092,1.1964111328125,2359296,5.556482388585281
1,vision.mlp.c_fc,4,128,8,128,2.692777395248413,1.16070556640625,2359296,5.556482388585281
1,vision.mlp.c_fc,8,32,8,128,0.1136341467499733,2.392822265625,2359296,5.556482388585281
1,vision.mlp.c_fc,8,64,8,128,0.13860879838466644,2.3214111328125,2359296,5.556482388585281
1,vision.mlp.c_fc,8,128,8,128,0.16262513399124146,2.28570556640625,2359296,5.556482388585281
1,vision.mlp.c_proj,2,32,8,128,6.911839962005615,0.705322265625,2359296,10.127617353490804
1,vision.mlp.c_proj,2,64,8,128,8.261187553405762,0.6339111328125,2359296,10.127617353490804
1,vision.mlp.c_proj,2,128,8,128,9.480621337890623,0.59820556640625,2359296,10.127617353490804
1,vision.mlp.c_proj,3,32,8,128,2.991220712661743,0.986572265625,2359296,10.127617353490804
1,vision.mlp.c_proj,3,64,8,128,3.6111984252929688,0.9151611328125,2359296,10.127617353490804
1,vision.mlp.c_proj,3,128,8,128,4.218574523925781,0.87945556640625,2359296,10.127617353490804
1,vision.mlp.c_proj,4,32,8,128,1.3967558145523071,1.267822265625,2359296,10.127617353490804
1,vision.mlp.c_proj,4,64,8,128,1.6911554336547852,1.1964111328125,2359296,10.127617353490804
1,vision.mlp.c_proj,4,128,8,128,1.983748197555542,1.16070556640625,2359296,10.127617353490804
1,vision.mlp.c_proj,8,32,8,128,0.08465902507305145,2.392822265625,2359296,10.127617353490804
1,vision.mlp.c_proj,8,64,8,128,0.10233005881309508,2.3214111328125,2359296,10.127617353490804
1,vision.mlp.c_proj,8,128,8,128,0.11965607851743698,2.28570556640625,2359296,10.127617353490804
2,vision.mlp.c_fc,2,32,8,128,8.82172966003418,0.705322265625,2359296,4.752866879979445
2,vision.mlp.c_fc,2,64,8,128,10.50925350189209,0.6339111328125,2359296,4.752866879979445
2,vision.mlp.c_fc,2,128,8,128,12.03489589691162,0.59820556640625,2359296,4.752866879979445
