layer,module,nbit1,gsize1,nbit2,gsize2,fnorm,memmb,params,kurtosis,kurtosis_scaled
3,self_attn.q_proj,2,32,8,128,18.512794494628903,2.5078125,8388608,5.0277843,0.31884882726060865
3,self_attn.q_proj,2,64,8,128,22.32255744934082,2.25390625,8388608,5.0277843,0.31884882726060865
3,self_attn.q_proj,2,128,8,128,25.81675910949707,2.126953125,8388608,5.0277843,0.31884882726060865
3,self_attn.q_proj,3,32,8,128,7.975907802581787,3.5078125,8388608,5.0277843,0.31884882726060865
3,self_attn.q_proj,3,64,8,128,9.6988525390625,3.25390625,8388608,5.0277843,0.31884882726060865
3,self_attn.q_proj,3,128,8,128,11.39767360687256,3.126953125,8388608,5.0277843,0.31884882726060865
3,self_attn.q_proj,4,32,8,128,3.7221250534057617,4.5078125,8388608,5.0277843,0.31884882726060865
3,self_attn.q_proj,4,64,8,128,4.526688098907471,4.25390625,8388608,5.0277843,0.31884882726060865
3,self_attn.q_proj,4,128,8,128,5.322445392608643,4.126953125,8388608,5.0277843,0.31884882726060865
3,self_attn.q_proj,8,32,8,128,0.2251587212085724,8.5078125,8388608,5.0277843,0.31884882726060865
3,self_attn.q_proj,8,64,8,128,0.2737371623516083,8.25390625,8388608,5.0277843,0.31884882726060865
3,self_attn.q_proj,8,128,8,128,0.3207479119300842,8.126953125,8388608,5.0277843,0.31884882726060865
7,self_attn.q_proj,2,32,8,128,14.465801239013672,2.5078125,8388608,5.1532836,0.41956701211457936
7,self_attn.q_proj,2,64,8,128,17.464452743530273,2.25390625,8388608,5.1532836,0.41956701211457936
7,self_attn.q_proj,2,128,8,128,20.35918617248535,2.126953125,8388608,5.1532836,0.41956701211457936
7,self_attn.q_proj,3,32,8,128,6.240450382232666,3.5078125,8388608,5.1532836,0.41956701211457936
7,self_attn.q_proj,3,64,8,128,7.608395099639893,3.25390625,8388608,5.1532836,0.41956701211457936
7,self_attn.q_proj,3,128,8,128,9.014678001403809,3.126953125,8388608,5.1532836,0.41956701211457936
7,self_attn.q_proj,4,32,8,128,2.913472414016724,4.5078125,8388608,5.1532836,0.41956701211457936
7,self_attn.q_proj,4,64,8,128,3.5556490421295166,4.25390625,8388608,5.1532836,0.41956701211457936
7,self_attn.q_proj,4,128,8,128,4.215063095092773,4.126953125,8388608,5.1532836,0.41956701211457936
7,self_attn.q_proj,8,32,8,128,0.1763921082019806,8.5078125,8388608,5.1532836,0.41956701211457936
7,self_attn.q_proj,8,64,8,128,0.2149564772844314,8.25390625,8388608,5.1532836,0.41956701211457936
7,self_attn.q_proj,8,128,8,128,0.2540857195854187,8.126953125,8388608,5.1532836,0.41956701211457936
11,self_attn.q_proj,2,32,8,128,13.288270950317385,2.5078125,8388608,5.3287954,0.5604222194061991
11,self_attn.q_proj,2,64,8,128,15.991981506347656,2.25390625,8388608,5.3287954,0.5604222194061991
11,self_attn.q_proj,2,128,8,128,18.53686141967773,2.126953125,8388608,5.3287954,0.5604222194061991
11,self_attn.q_proj,3,32,8,128,5.748047351837158,3.5078125,8388608,5.3287954,0.5604222194061991
11,self_attn.q_proj,3,64,8,128,7.013784408569336,3.25390625,8388608,5.3287954,0.5604222194061991
11,self_attn.q_proj,3,128,8,128,8.289031028747559,3.126953125,8388608,5.3287954,0.5604222194061991
11,self_attn.q_proj,4,32,8,128,2.684587955474853,4.5078125,8388608,5.3287954,0.5604222194061991
11,self_attn.q_proj,4,64,8,128,3.2824652194976807,4.25390625,8388608,5.3287954,0.5604222194061991
11,self_attn.q_proj,4,128,8,128,3.8936705589294434,4.126953125,8388608,5.3287954,0.5604222194061991
11,self_attn.q_proj,8,32,8,128,0.1624067723751068,8.5078125,8388608,5.3287954,0.5604222194061991
11,self_attn.q_proj,8,64,8,128,0.1983776241540908,8.25390625,8388608,5.3287954,0.5604222194061991
11,self_attn.q_proj,8,128,8,128,0.2344621568918228,8.126953125,8388608,5.3287954,0.5604222194061991
15,self_attn.q_proj,2,32,8,128,14.316961288452148,2.5078125,8388608,4.7168055,0.06927595901300804
15,self_attn.q_proj,2,64,8,128,17.233354568481445,2.25390625,8388608,4.7168055,0.06927595901300804
15,self_attn.q_proj,2,128,8,128,19.939882278442383,2.126953125,8388608,4.7168055,0.06927595901300804
15,self_attn.q_proj,3,32,8,128,6.146373748779297,3.5078125,8388608,4.7168055,0.06927595901300804
15,self_attn.q_proj,3,64,8,128,7.449357032775879,3.25390625,8388608,4.7168055,0.06927595901300804
15,self_attn.q_proj,3,128,8,128,8.702068328857422,3.126953125,8388608,4.7168055,0.06927595901300804
15,self_attn.q_proj,4,32,8,128,2.8674440383911133,4.5078125,8388608,4.7168055,0.06927595901300804
15,self_attn.q_proj,4,64,8,128,3.4772868156433105,4.25390625,8388608,4.7168055,0.06927595901300804
15,self_attn.q_proj,4,128,8,128,4.064118385314941,4.126953125,8388608,4.7168055,0.06927595901300804
15,self_attn.q_proj,8,32,8,128,0.1736285835504531,8.5078125,8388608,4.7168055,0.06927595901300804
15,self_attn.q_proj,8,64,8,128,0.2102008610963821,8.25390625,8388608,4.7168055,0.06927595901300804
15,self_attn.q_proj,8,128,8,128,0.2447542995214462,8.126953125,8388608,4.7168055,0.06927595901300804
19,self_attn.q_proj,2,32,8,128,13.332840919494627,2.5078125,8388608,4.6304846,0.0
19,self_attn.q_proj,2,64,8,128,16.138139724731445,2.25390625,8388608,4.6304846,0.0
19,self_attn.q_proj,2,128,8,128,18.723297119140625,2.126953125,8388608,4.6304846,0.0
19,self_attn.q_proj,3,32,8,128,5.734615802764893,3.5078125,8388608,4.6304846,0.0
19,self_attn.q_proj,3,64,8,128,6.984499454498291,3.25390625,8388608,4.6304846,0.0
19,self_attn.q_proj,3,128,8,128,8.181302070617676,3.126953125,8388608,4.6304846,0.0
19,self_attn.q_proj,4,32,8,128,2.676611423492432,4.5078125,8388608,4.6304846,0.0
19,self_attn.q_proj,4,64,8,128,3.258589506149292,4.25390625,8388608,4.6304846,0.0
19,self_attn.q_proj,4,128,8,128,3.8185553550720215,4.126953125,8388608,4.6304846,0.0
19,self_attn.q_proj,8,32,8,128,0.1620394140481948,8.5078125,8388608,4.6304846,0.0
19,self_attn.q_proj,8,64,8,128,0.1971153616905212,8.25390625,8388608,4.6304846,0.0
19,self_attn.q_proj,8,128,8,128,0.2300171852111816,8.126953125,8388608,4.6304846,0.0
23,self_attn.q_proj,2,32,8,128,15.941328048706056,2.5078125,8388608,5.8765287,1.0
23,self_attn.q_proj,2,64,8,128,19.337936401367188,2.25390625,8388608,5.8765287,1.0
23,self_attn.q_proj,2,128,8,128,22.551652908325195,2.126953125,8388608,5.8765287,1.0
23,self_attn.q_proj,3,32,8,128,6.879687786102295,3.5078125,8388608,5.8765287,1.0
23,self_attn.q_proj,3,64,8,128,8.424104690551758,3.25390625,8388608,5.8765287,1.0
23,self_attn.q_proj,3,128,8,128,9.99289608001709,3.126953125,8388608,5.8765287,1.0
23,self_attn.q_proj,4,32,8,128,3.211217403411865,4.5078125,8388608,5.8765287,1.0
23,self_attn.q_proj,4,64,8,128,3.93471097946167,4.25390625,8388608,5.8765287,1.0
23,self_attn.q_proj,4,128,8,128,4.670784950256348,4.126953125,8388608,5.8765287,1.0
23,self_attn.q_proj,8,32,8,128,0.1941756755113601,8.5078125,8388608,5.8765287,1.0
23,self_attn.q_proj,8,64,8,128,0.2377108335494995,8.25390625,8388608,5.8765287,1.0
23,self_attn.q_proj,8,128,8,128,0.2814796268939972,8.126953125,8388608,5.8765287,1.0
3,self_attn.k_proj,2,32,8,128,4.950557231903076,0.3134765625,1048576,4.6444693,0.019146856668384907
3,self_attn.k_proj,2,64,8,128,5.876943111419678,0.28173828125,1048576,4.6444693,0.019146856668384907
3,self_attn.k_proj,2,128,8,128,6.690675258636475,0.265869140625,1048576,4.6444693,0.019146856668384907
3,self_attn.k_proj,3,32,8,128,2.1299970149993896,0.4384765625,1048576,4.6444693,0.019146856668384907
3,self_attn.k_proj,3,64,8,128,2.544630765914917,0.40673828125,1048576,4.6444693,0.019146856668384907
3,self_attn.k_proj,3,128,8,128,2.929072141647339,0.390869140625,1048576,4.6444693,0.019146856668384907
3,self_attn.k_proj,4,32,8,128,0.9934393167495728,0.5634765625,1048576,4.6444693,0.019146856668384907
3,self_attn.k_proj,4,64,8,128,1.1855379343032837,0.53173828125,1048576,4.6444693,0.019146856668384907
3,self_attn.k_proj,4,128,8,128,1.3647092580795288,0.515869140625,1048576,4.6444693,0.019146856668384907
3,self_attn.k_proj,8,32,8,128,0.0601740032434463,1.0634765625,1048576,4.6444693,0.019146856668384907
3,self_attn.k_proj,8,64,8,128,0.0717276632785797,1.03173828125,1048576,4.6444693,0.019146856668384907
3,self_attn.k_proj,8,128,8,128,0.0824068039655685,1.015869140625,1048576,4.6444693,0.019146856668384907
7,self_attn.k_proj,2,32,8,128,4.51846981048584,0.3134765625,1048576,4.4860487,0.0
7,self_attn.k_proj,2,64,8,128,5.324532508850098,0.28173828125,1048576,4.4860487,0.0
7,self_attn.k_proj,2,128,8,128,6.05689001083374,0.265869140625,1048576,4.4860487,0.0
7,self_attn.k_proj,3,32,8,128,1.9438105821609497,0.4384765625,1048576,4.4860487,0.0
7,self_attn.k_proj,3,64,8,128,2.2989907264709477,0.40673828125,1048576,4.4860487,0.0
7,self_attn.k_proj,3,128,8,128,2.640284299850464,0.390869140625,1048576,4.4860487,0.0
7,self_attn.k_proj,4,32,8,128,0.9058334827423096,0.5634765625,1048576,4.4860487,0.0
7,self_attn.k_proj,4,64,8,128,1.0733585357666016,0.53173828125,1048576,4.4860487,0.0
7,self_attn.k_proj,4,128,8,128,1.231808304786682,0.515869140625,1048576,4.4860487,0.0
7,self_attn.k_proj,8,32,8,128,0.0548510625958442,1.0634765625,1048576,4.4860487,0.0
7,self_attn.k_proj,8,64,8,128,0.0649902075529098,1.03173828125,1048576,4.4860487,0.0
7,self_attn.k_proj,8,128,8,128,0.0743303149938583,1.015869140625,1048576,4.4860487,0.0
11,self_attn.k_proj,2,32,8,128,4.760910987854004,0.3134765625,1048576,4.604759,0.014347433977405517
11,self_attn.k_proj,2,64,8,128,5.643840789794922,0.28173828125,1048576,4.604759,0.014347433977405517
11,self_attn.k_proj,2,128,8,128,6.423271656036377,0.265869140625,1048576,4.604759,0.014347433977405517
11,self_attn.k_proj,3,32,8,128,2.053332090377808,0.4384765625,1048576,4.604759,0.014347433977405517
11,self_attn.k_proj,3,64,8,128,2.450748920440674,0.40673828125,1048576,4.604759,0.014347433977405517
11,self_attn.k_proj,3,128,8,128,2.830265998840332,0.390869140625,1048576,4.604759,0.014347433977405517
11,self_attn.k_proj,4,32,8,128,0.957874059677124,0.5634765625,1048576,4.604759,0.014347433977405517
11,self_attn.k_proj,4,64,8,128,1.1454826593399048,0.53173828125,1048576,4.604759,0.014347433977405517
11,self_attn.k_proj,4,128,8,128,1.3238391876220703,0.515869140625,1048576,4.604759,0.014347433977405517
11,self_attn.k_proj,8,32,8,128,0.0580794811248779,1.0634765625,1048576,4.604759,0.014347433977405517
11,self_attn.k_proj,8,64,8,128,0.0693036690354347,1.03173828125,1048576,4.604759,0.014347433977405517
11,self_attn.k_proj,8,128,8,128,0.0798366069793701,1.015869140625,1048576,4.604759,0.014347433977405517
15,self_attn.k_proj,2,32,8,128,4.812682151794434,0.3134765625,1048576,5.360387,0.10567331590575531
15,self_attn.k_proj,2,64,8,128,5.731106281280518,0.28173828125,1048576,5.360387,0.10567331590575531
15,self_attn.k_proj,2,128,8,128,6.550561904907227,0.265869140625,1048576,5.360387,0.10567331590575531
15,self_attn.k_proj,3,32,8,128,2.0708038806915283,0.4384765625,1048576,5.360387,0.10567331590575531
15,self_attn.k_proj,3,64,8,128,2.4829585552215576,0.40673828125,1048576,5.360387,0.10567331590575531
15,self_attn.k_proj,3,128,8,128,2.8756418228149414,0.390869140625,1048576,5.360387,0.10567331590575531
15,self_attn.k_proj,4,32,8,128,0.96469384431839,0.5634765625,1048576,5.360387,0.10567331590575531
15,self_attn.k_proj,4,64,8,128,1.1573688983917236,0.53173828125,1048576,5.360387,0.10567331590575531
15,self_attn.k_proj,4,128,8,128,1.3420617580413818,0.515869140625,1048576,5.360387,0.10567331590575531
15,self_attn.k_proj,8,32,8,128,0.0584592930972576,1.0634765625,1048576,5.360387,0.10567331590575531
15,self_attn.k_proj,8,64,8,128,0.0700141116976738,1.03173828125,1048576,5.360387,0.10567331590575531
15,self_attn.k_proj,8,128,8,128,0.0808288753032684,1.015869140625,1048576,5.360387,0.10567331590575531
19,self_attn.k_proj,2,32,8,128,4.491574287414551,0.3134765625,1048576,7.1861386,0.32633530176664916
19,self_attn.k_proj,2,64,8,128,5.325009346008301,0.28173828125,1048576,7.1861386,0.32633530176664916
19,self_attn.k_proj,2,128,8,128,6.074485778808594,0.265869140625,1048576,7.1861386,0.32633530176664916
19,self_attn.k_proj,3,32,8,128,1.930957317352295,0.4384765625,1048576,7.1861386,0.32633530176664916
19,self_attn.k_proj,3,64,8,128,2.300340175628662,0.40673828125,1048576,7.1861386,0.32633530176664916
19,self_attn.k_proj,3,128,8,128,2.649479866027832,0.390869140625,1048576,7.1861386,0.32633530176664916
19,self_attn.k_proj,4,32,8,128,0.8994279503822327,0.5634765625,1048576,7.1861386,0.32633530176664916
19,self_attn.k_proj,4,64,8,128,1.0732747316360474,0.53173828125,1048576,7.1861386,0.32633530176664916
19,self_attn.k_proj,4,128,8,128,1.238558292388916,0.515869140625,1048576,7.1861386,0.32633530176664916
19,self_attn.k_proj,8,32,8,128,0.0545677803456783,1.0634765625,1048576,7.1861386,0.32633530176664916
19,self_attn.k_proj,8,64,8,128,0.0649683699011802,1.03173828125,1048576,7.1861386,0.32633530176664916
19,self_attn.k_proj,8,128,8,128,0.0745697543025016,1.015869140625,1048576,7.1861386,0.32633530176664916
23,self_attn.k_proj,2,32,8,128,4.164576053619385,0.3134765625,1048576,12.760023,1.0
23,self_attn.k_proj,2,64,8,128,4.945943832397461,0.28173828125,1048576,12.760023,1.0
23,self_attn.k_proj,2,128,8,128,5.631621360778809,0.265869140625,1048576,12.760023,1.0
23,self_attn.k_proj,3,32,8,128,1.79490864276886,0.4384765625,1048576,12.760023,1.0
23,self_attn.k_proj,3,64,8,128,2.1461124420166016,0.40673828125,1048576,12.760023,1.0
23,self_attn.k_proj,3,128,8,128,2.4774601459503174,0.390869140625,1048576,12.760023,1.0
23,self_attn.k_proj,4,32,8,128,0.8389034867286682,0.5634765625,1048576,12.760023,1.0
23,self_attn.k_proj,4,64,8,128,1.0016039609909058,0.53173828125,1048576,12.760023,1.0
23,self_attn.k_proj,4,128,8,128,1.155631422996521,0.515869140625,1048576,12.760023,1.0
23,self_attn.k_proj,8,32,8,128,0.0506731458008289,1.0634765625,1048576,12.760023,1.0
23,self_attn.k_proj,8,64,8,128,0.0605555847287178,1.03173828125,1048576,12.760023,1.0
23,self_attn.k_proj,8,128,8,128,0.0697020143270492,1.015869140625,1048576,12.760023,1.0
3,self_attn.v_proj,2,32,8,128,4.825697422027588,0.3134765625,1048576,4.4509068,0.020633824685398535
3,self_attn.v_proj,2,64,8,128,5.732304573059082,0.28173828125,1048576,4.4509068,0.020633824685398535
3,self_attn.v_proj,2,128,8,128,6.563165664672852,0.265869140625,1048576,4.4509068,0.020633824685398535
3,self_attn.v_proj,3,32,8,128,2.075796127319336,0.4384765625,1048576,4.4509068,0.020633824685398535
3,self_attn.v_proj,3,64,8,128,2.485924482345581,0.40673828125,1048576,4.4509068,0.020633824685398535
3,self_attn.v_proj,3,128,8,128,2.881340503692627,0.390869140625,1048576,4.4509068,0.020633824685398535
3,self_attn.v_proj,4,32,8,128,0.9677289724349976,0.5634765625,1048576,4.4509068,0.020633824685398535
3,self_attn.v_proj,4,64,8,128,1.158983826637268,0.53173828125,1048576,4.4509068,0.020633824685398535
3,self_attn.v_proj,4,128,8,128,1.3469607830047607,0.515869140625,1048576,4.4509068,0.020633824685398535
3,self_attn.v_proj,8,32,8,128,0.0585844069719314,1.0634765625,1048576,4.4509068,0.020633824685398535
3,self_attn.v_proj,8,64,8,128,0.0701479911804199,1.03173828125,1048576,4.4509068,0.020633824685398535
3,self_attn.v_proj,8,128,8,128,0.0812053084373474,1.015869140625,1048576,4.4509068,0.020633824685398535
