module,layer,kurtosis
vision.mlp.c_fc,0,7.5647333557116845
vision.mlp.c_fc,1,5.556482388585281
vision.mlp.c_fc,2,4.752866879979445
vision.mlp.c_fc,3,4.378746321591061
vision.mlp.c_fc,4,3.918504223899523
vision.mlp.c_fc,5,3.714197056179566
vision.mlp.c_fc,6,3.614600960861904
vision.mlp.c_fc,7,3.4103181441120247
vision.mlp.c_fc,8,3.734153132112317
vision.mlp.c_fc,9,3.406923087940011
vision.mlp.c_fc,10,3.506843786702064
vision.mlp.c_fc,11,3.336296405622262
vision.mlp.c_proj,0,8.024042788345657
vision.mlp.c_proj,1,10.127617353490804
vision.mlp.c_proj,2,5.964957611759415
vision.mlp.c_proj,3,5.006922011163274
vision.mlp.c_proj,4,4.362240481953023
vision.mlp.c_proj,5,4.504410342372665
vision.mlp.c_proj,6,3.703802696792269
vision.mlp.c_proj,7,3.7265741474392886
vision.mlp.c_proj,8,3.770444941283215
vision.mlp.c_proj,9,3.7473560752962425
vision.mlp.c_proj,10,3.7916828549200345
vision.mlp.c_proj,11,3.5289485578856628
text.mlp.c_fc,0,18.890344642798922
text.mlp.c_fc,1,3.0800089847603167
text.mlp.c_fc,2,3.112510371474206
text.mlp.c_fc,3,3.124703500598623
text.mlp.c_fc,4,3.1205782672974403
text.mlp.c_fc,5,3.12209161166918
text.mlp.c_fc,6,3.1043126095541482
text.mlp.c_fc,7,3.1152966389066306
text.mlp.c_fc,8,3.1079712489156552
text.mlp.c_fc,9,3.1305828189206824
text.mlp.c_fc,10,3.144641316115429
text.mlp.c_fc,11,3.227518868269559
text.mlp.c_proj,0,8.257733339213775
text.mlp.c_proj,1,3.2167251445240903
text.mlp.c_proj,2,3.292999208834084
text.mlp.c_proj,3,3.365812129846043
text.mlp.c_proj,4,3.3007157471391952
text.mlp.c_proj,5,3.399940581104202
text.mlp.c_proj,6,3.418852076553872
text.mlp.c_proj,7,3.563658370504532
text.mlp.c_proj,8,3.6947691166226
text.mlp.c_proj,9,3.495399170438296
text.mlp.c_proj,10,3.655921840018199
text.mlp.c_proj,11,3.351559119010831
