module,layer,kurtosis
vision.mlp.c_fc,0,40.90237464363011
vision.mlp.c_fc,1,8.623074922686055
vision.mlp.c_fc,2,9.97244388122774
vision.mlp.c_fc,3,8.84226648033505
vision.mlp.c_fc,4,6.679282327315599
vision.mlp.c_fc,5,5.079880661110845
vision.mlp.c_fc,6,4.880932310379808
vision.mlp.c_fc,7,4.627381829171479
vision.mlp.c_fc,8,3.9064125305929482
vision.mlp.c_fc,9,3.7876465036865037
vision.mlp.c_fc,10,3.7124408015905463
vision.mlp.c_fc,11,3.5936330266701173
vision.mlp.c_fc,12,3.532952137305315
vision.mlp.c_fc,13,3.3851543523342795
vision.mlp.c_fc,14,3.2873419131054304
vision.mlp.c_fc,15,3.21782809316773
vision.mlp.c_fc,16,3.193747931233614
vision.mlp.c_fc,17,3.1630314377596305
vision.mlp.c_fc,18,3.111462971801169
vision.mlp.c_fc,19,3.105595856069085
vision.mlp.c_fc,20,3.125886942463749
vision.mlp.c_fc,21,3.112450361245664
vision.mlp.c_fc,22,3.079523772985348
vision.mlp.c_fc,23,3.0821569476632615
vision.mlp.c_fc,24,3.060682454627166
vision.mlp.c_fc,25,3.0582903694192485
vision.mlp.c_fc,26,3.066707948588762
vision.mlp.c_fc,27,3.098921361428591
vision.mlp.c_fc,28,3.115322580545271
vision.mlp.c_fc,29,3.1341133294881063
vision.mlp.c_fc,30,3.0777676137143355
vision.mlp.c_fc,31,3.1157306945381347
vision.mlp.c_proj,0,42.596327918914184
vision.mlp.c_proj,1,5.700569954788923
vision.mlp.c_proj,2,13.632761342438107
vision.mlp.c_proj,3,16.268235060436744
vision.mlp.c_proj,4,6.3570446531375
vision.mlp.c_proj,5,4.809992151850216
vision.mlp.c_proj,6,5.053291310517847
vision.mlp.c_proj,7,7.712895831700571
vision.mlp.c_proj,8,3.6717534300900505
vision.mlp.c_proj,9,3.8858509415381075
vision.mlp.c_proj,10,4.615226983169325
vision.mlp.c_proj,11,3.9462090594902732
vision.mlp.c_proj,12,4.290422057573261
vision.mlp.c_proj,13,4.200667942302044
vision.mlp.c_proj,14,3.5894479766105856
vision.mlp.c_proj,15,3.295239725306919
vision.mlp.c_proj,16,3.258246320341865
vision.mlp.c_proj,17,3.287998430108839
vision.mlp.c_proj,18,3.106840184971173
vision.mlp.c_proj,19,3.1621437963814087
vision.mlp.c_proj,20,3.168454537760785
vision.mlp.c_proj,21,3.213436382602411
vision.mlp.c_proj,22,3.173853870505496
vision.mlp.c_proj,23,3.178954522388751
vision.mlp.c_proj,24,3.110805792772743
vision.mlp.c_proj,25,3.114617319926587
vision.mlp.c_proj,26,3.1252555548204226
vision.mlp.c_proj,27,3.2274298263451326
vision.mlp.c_proj,28,3.4402281120641667
vision.mlp.c_proj,29,3.4039192043631497
vision.mlp.c_proj,30,3.235419305882699
vision.mlp.c_proj,31,3.2103127283743196
text.mlp.c_fc,0,3.130876328110002
text.mlp.c_fc,1,3.522946431618204
text.mlp.c_fc,2,3.0665727137671914
text.mlp.c_fc,3,3.07939282139385
text.mlp.c_fc,4,3.073907675889281
text.mlp.c_fc,5,3.0760243182327653
text.mlp.c_fc,6,3.074341006878764
text.mlp.c_fc,7,3.070467308878268
text.mlp.c_fc,8,3.071675866527997
text.mlp.c_fc,9,3.0676553119556074
text.mlp.c_fc,10,3.0588525342169723
text.mlp.c_fc,11,3.050926459548459
text.mlp.c_fc,12,3.0518055370811794
text.mlp.c_fc,13,3.0420668373340813
text.mlp.c_fc,14,3.0318151874070547
text.mlp.c_fc,15,3.039579656917142
text.mlp.c_fc,16,3.030832331612468
text.mlp.c_fc,17,3.0464599870244147
text.mlp.c_fc,18,3.0314247283166527
text.mlp.c_fc,19,3.0366579505365423
text.mlp.c_fc,20,3.035431457627752
text.mlp.c_fc,21,3.035719259091557
text.mlp.c_fc,22,3.0609612140958817
text.mlp.c_fc,23,3.0913598384430627
text.mlp.c_proj,0,7.6155345275418025
text.mlp.c_proj,1,10.138321188679202
text.mlp.c_proj,2,3.0448966809401976
text.mlp.c_proj,3,3.111820890605678
text.mlp.c_proj,4,3.0514440139756176
text.mlp.c_proj,5,3.7893358959560755
text.mlp.c_proj,6,3.0707829989536948
text.mlp.c_proj,7,3.065090920136809
text.mlp.c_proj,8,3.0726887739189013
text.mlp.c_proj,9,3.3939847588778926
text.mlp.c_proj,10,3.1983749033206665
text.mlp.c_proj,11,3.1750157970807344
text.mlp.c_proj,12,3.0569032145916935
text.mlp.c_proj,13,3.352986917766462
text.mlp.c_proj,14,3.040870872900523
text.mlp.c_proj,15,3.084122174777231
text.mlp.c_proj,16,3.083968401193075
text.mlp.c_proj,17,3.057870708712376
text.mlp.c_proj,18,3.154006715549809
text.mlp.c_proj,19,3.099173814869719
text.mlp.c_proj,20,3.1643892434809398
text.mlp.c_proj,21,3.1143910580456344
text.mlp.c_proj,22,3.2050609846862375
text.mlp.c_proj,23,3.1967177502646615
