module,layer,kurtosis
vision.mlp.c_fc,0,82.60432030937712
vision.mlp.c_fc,1,12.176342485174775
vision.mlp.c_fc,2,9.386186464371631
vision.mlp.c_fc,3,6.0384986521099115
vision.mlp.c_fc,4,5.121874436272312
vision.mlp.c_fc,5,4.184969377709542
vision.mlp.c_fc,6,4.256117717855523
vision.mlp.c_fc,7,3.953278547908379
vision.mlp.c_fc,8,3.923302040046366
vision.mlp.c_fc,9,3.640527020435186
vision.mlp.c_fc,10,3.8766116638521972
vision.mlp.c_fc,11,3.364467358103123
vision.mlp.c_fc,12,3.2501048983174172
vision.mlp.c_fc,13,3.144904609090658
vision.mlp.c_fc,14,3.1176022019209833
vision.mlp.c_fc,15,3.170790033142059
vision.mlp.c_fc,16,3.1901952176386157
vision.mlp.c_fc,17,3.1728736833856566
vision.mlp.c_fc,18,3.1092420753715064
vision.mlp.c_fc,19,3.1289105323616995
vision.mlp.c_fc,20,3.1633778054509616
vision.mlp.c_fc,21,3.1948778928908625
vision.mlp.c_fc,22,3.153364851937131
vision.mlp.c_fc,23,3.1481862277653847
vision.mlp.c_proj,0,48.91602226406029
vision.mlp.c_proj,1,7.994586159177927
vision.mlp.c_proj,2,9.259903305960076
vision.mlp.c_proj,3,12.161504492865403
vision.mlp.c_proj,4,11.137208824577082
vision.mlp.c_proj,5,4.50118105140538
vision.mlp.c_proj,6,3.9747365034192206
vision.mlp.c_proj,7,4.846873977315018
vision.mlp.c_proj,8,4.914742513787588
vision.mlp.c_proj,9,5.0506453475209065
vision.mlp.c_proj,10,13.838509154283804
vision.mlp.c_proj,11,4.258906842824289
vision.mlp.c_proj,12,3.4482411935554316
vision.mlp.c_proj,13,3.4563538182296156
vision.mlp.c_proj,14,3.1506796697623156
vision.mlp.c_proj,15,3.140821870180245
vision.mlp.c_proj,16,3.1870137578290736
vision.mlp.c_proj,17,3.1622263243928037
vision.mlp.c_proj,18,3.1727003318990294
vision.mlp.c_proj,19,3.126420350320576
vision.mlp.c_proj,20,3.214422564736524
vision.mlp.c_proj,21,3.5410765909033515
vision.mlp.c_proj,22,3.885907825953595
vision.mlp.c_proj,23,3.241221353196137
text.mlp.c_fc,0,3.111321629333239
text.mlp.c_fc,1,3.1040094243226832
text.mlp.c_fc,2,3.0476798189406455
text.mlp.c_fc,3,3.0567396405641647
text.mlp.c_fc,4,3.072398311749821
text.mlp.c_fc,5,3.0581450022889753
text.mlp.c_fc,6,3.053470998692992
text.mlp.c_fc,7,3.0531601497538126
text.mlp.c_fc,8,3.0696775698776992
text.mlp.c_fc,9,3.065453985089178
text.mlp.c_fc,10,3.067657384247557
text.mlp.c_fc,11,3.086129858871849
text.mlp.c_proj,0,16.411416535361464
text.mlp.c_proj,1,10.636934397271798
text.mlp.c_proj,2,5.467879831695406
text.mlp.c_proj,3,3.117101945617834
text.mlp.c_proj,4,3.162125318135728
text.mlp.c_proj,5,3.114353715482094
text.mlp.c_proj,6,3.1560610360682673
text.mlp.c_proj,7,3.230989551532942
text.mlp.c_proj,8,3.273957420333387
text.mlp.c_proj,9,3.322224898837691
text.mlp.c_proj,10,3.252371370612472
text.mlp.c_proj,11,3.2207147468979427
