type,module,param_count,layer,percentile_0,percentile_99,percentile_999,percentile_9999,percentile_100,kurtosis
text,attn.in_proj_bias,1536,0,5.5268164942390285e-06,0.512496717274194,3.7617833542824144,3.9832941468953953,3.9999048709869385,151.67982418417418
text,attn.in_proj_bias,1536,1,3.6388814805832226e-06,2.5135109663009696,4.026690752506266,4.4369015526771,4.505192756652832,43.65825155942764
text,attn.in_proj_bias,1536,2,3.999413820565678e-06,2.1424966573715363,3.3770656228065845,4.067149888396182,4.168659210205078,49.14360400579337
text,attn.in_proj_bias,1536,3,6.4969967752404045e-06,2.3925016880035446,3.768451361656215,4.089736096978155,4.130693435668945,35.75981496584295
text,attn.in_proj_bias,1536,4,6.186588052514708e-06,2.1497715353965794,4.277576341629039,4.812314295291829,4.902606010437012,37.0654350510006
text,attn.in_proj_bias,1536,5,1.439574953110423e-05,1.9772459864616472,4.537293622493764,5.073436578035288,5.1572794914245605,39.986565926206374
text,attn.in_proj_bias,1536,6,2.954471710836515e-06,1.901944559812562,4.628563311100067,4.957835222482666,4.976535320281982,52.47133415684859
text,attn.in_proj_bias,1536,7,2.1355896024033427e-05,2.1974275469780236,4.646098704338157,5.84545035171496,6.00722074508667,78.94191552837508
text,attn.in_proj_bias,1536,8,5.55039423488779e-06,1.623089516162873,4.734115097522744,4.999003674268689,5.041427135467529,77.91539777563753
text,attn.in_proj_bias,1536,9,4.929315764456987e-06,1.870990055799525,4.887536852359835,5.3501954596042305,5.39190673828125,86.1155845819823
text,attn.in_proj_bias,1536,10,2.264296426801593e-06,1.5847059667110486,4.410764577388776,4.57691365861891,4.598664283752441,77.24531471846598
text,attn.in_proj_bias,1536,11,1.9299010091344826e-05,0.9109545588493357,4.699906539917023,5.883795742273176,6.078234672546387,139.92167454376388
text,attn.in_proj_weight,786432,0,6.795713436424933e-10,0.057812867872416934,0.07799828210473275,0.10498816117325621,0.24779869616031647,4.245474008629651
text,attn.in_proj_weight,786432,1,8.940228002352058e-10,0.0573803281038999,0.07699211787432474,0.09612716268967776,0.15520048141479492,4.093930507408682
text,attn.in_proj_weight,786432,2,5.725564911074343e-09,0.053577201254665766,0.07222203522921,0.09049307581703851,0.16701115667819977,3.830203242036712
text,attn.in_proj_weight,786432,3,7.297193960198456e-09,0.05262999821454279,0.07017311322689146,0.08866175587473316,0.18816691637039185,3.735203808730282
text,attn.in_proj_weight,786432,4,1.485005629575653e-08,0.05058870971202847,0.06861763983219897,0.0857219003490767,0.15394838154315948,3.640789712062604
text,attn.in_proj_weight,786432,5,9.225641406374052e-08,0.0508726891130208,0.06815460687875863,0.08497477148473098,0.19436751306056976,3.6399774816678896
text,attn.in_proj_weight,786432,6,9.421528091024811e-08,0.05014875333756205,0.06665936082601631,0.08369660931154395,0.15162742137908936,3.534449017998881
text,attn.in_proj_weight,786432,7,2.1835514729673378e-08,0.049288787841796855,0.06571333753317647,0.08573477241841887,0.1418001800775528,3.4327121494440247
text,attn.in_proj_weight,786432,8,1.9694862629648924e-08,0.04738320723176002,0.06321443187445479,0.08155944472849305,0.16608865559101105,3.382744395536216
text,attn.in_proj_weight,786432,9,1.2893183409801168e-08,0.047103374935686546,0.06364661213755668,0.08460213481185799,0.2069171965122223,3.5349862933627727
text,attn.in_proj_weight,786432,10,6.173029643008476e-09,0.04511154599487781,0.06185614493117044,0.08470075822693869,0.16431856155395508,3.4608656589152496
text,attn.in_proj_weight,786432,11,1.485408862578197e-08,0.046856596730649444,0.06455994182080042,0.08836472113205052,0.18936896324157715,3.7246314963879974
text,attn.out_proj.bias,512,0,0.000253093836363405,0.29622376799583383,0.5806262653470072,0.6275838987171573,0.6328014135360718,15.907701264987434
text,attn.out_proj.bias,512,1,5.291269553708844e-05,0.1938277988135809,0.5695276011228646,0.6886345480799477,0.7018686532974243,45.04233002630272
text,attn.out_proj.bias,512,2,0.00022096815519034863,0.17185623988509116,0.5029694427847896,0.5501744984567087,0.5554195046424866,28.466163666520725
text,attn.out_proj.bias,512,3,0.00017831697186920792,0.18181008264422377,0.43126974183321565,0.5110588289081918,0.5199242830276489,10.305294328775004
text,attn.out_proj.bias,512,4,4.638842074200511e-05,0.1963637804985044,0.4494753813147587,0.5085659179627797,0.5151315331459045,6.772582563741613
text,attn.out_proj.bias,512,5,0.00029522806289605796,0.2297930735349655,0.38992832639814107,0.48610143814383344,0.49678733944892883,3.309046484626766
text,attn.out_proj.bias,512,6,1.6041105482145213e-05,0.255019246637821,0.35142028814554604,0.4059740548193364,0.41203558444976807,3.5879905495895774
text,attn.out_proj.bias,512,7,2.3533742933068424e-05,0.26194146811962116,0.5472603429556007,0.7074471770643922,0.7252457141876221,9.88993446591427
text,attn.out_proj.bias,512,8,0.00010695763194235042,0.3229180672764777,0.9472615559101439,1.417952991914671,1.4702520370483398,81.27470484715101
text,attn.out_proj.bias,512,9,0.00023746294027660042,0.24603020220994942,0.9005887657404309,1.4112981960176574,1.4680436849594116,90.77200300761149
text,attn.out_proj.bias,512,10,0.0004277323023416102,0.3285373553633689,1.0140211675167512,1.614863223767181,1.6816234588623047,40.72023523879445
text,attn.out_proj.bias,512,11,8.893501944839954e-05,0.7414616632461538,1.693066104531346,2.5053119643806063,2.5955615043640137,11.165198450350093
text,attn.out_proj.weight,262144,0,6.531917051688652e-08,0.031054194420576116,0.041068974584341084,0.053143994561580324,0.15111033618450165,3.4285504627970353
text,attn.out_proj.weight,262144,1,1.4934150271983526e-07,0.03205409929156304,0.04208884007111213,0.06408096787478727,0.09420455247163773,3.2980170556072625
text,attn.out_proj.weight,262144,2,5.501494815263186e-09,0.03182800292968752,0.042474321339279565,0.055654933956995334,0.0922209620475769,3.2751116967493976
text,attn.out_proj.weight,262144,3,1.750524702970324e-08,0.03225982435047627,0.04371190652996383,0.0595587829485371,0.1074938103556633,3.355044772699972
text,attn.out_proj.weight,262144,4,2.4258892672435195e-09,0.033264181762933755,0.044655834235251116,0.06779550378172855,0.13118314743041992,3.5070141884976995
text,attn.out_proj.weight,262144,5,8.450752986277621e-09,0.03304879490286112,0.044818041525781435,0.06189538905992936,0.07692963629961014,3.2983296461425327
text,attn.out_proj.weight,262144,6,4.06720417345241e-08,0.0336168472468853,0.04464944202080401,0.05607817385680789,0.10210476815700531,3.1888036965929767
text,attn.out_proj.weight,262144,7,3.3691254230916456e-08,0.036274524144828325,0.047491894148290234,0.05833094786293774,0.09817813336849213,3.1275383458095427
text,attn.out_proj.weight,262144,8,8.925219674438267e-08,0.03658481672406197,0.04861600662767905,0.06333850446863468,0.14617811143398285,3.3433025720715754
text,attn.out_proj.weight,262144,9,9.083516161467742e-09,0.03901042800396681,0.051504491560161264,0.06659583741202861,0.1549133062362671,3.3566881789541108
text,attn.out_proj.weight,262144,10,2.2386036135912946e-08,0.03848150402307512,0.05074726190790536,0.06449560505822068,0.089492067694664,3.2202477742243727
text,attn.out_proj.weight,262144,11,5.118456769537261e-09,0.04370186209678654,0.058896108549088354,0.08051764812469253,0.11428963392972946,3.3698263780001443
text,ln_1.bias,512,0,0.001105492003262043,0.7330620765686018,4.55624919915207,5.646548658394632,5.767693042755127,127.62838168038589
text,ln_1.bias,512,1,0.0014573301887139678,0.38118055343627916,4.23584546089192,6.995269145011444,7.3018717765808105,338.89067746462666
text,ln_1.bias,512,2,0.0005576356779783964,0.3777422818541525,4.405728995323389,7.322047895144932,7.646083354949951,373.0327131277581
text,ln_1.bias,512,3,8.359346975339577e-05,0.29015965998172744,4.949538854122354,7.64570466551736,7.945278644561768,387.8820491342474
text,ln_1.bias,512,4,9.888668137136847e-05,0.3483784389495849,5.430977085113695,7.814521739768587,8.079360008239746,340.9209718581669
text,ln_1.bias,512,5,0.0008163313614204526,0.3871972140669821,5.769602640152161,8.360238133239315,8.648086547851562,344.9808372091871
text,ln_1.bias,512,6,0.0009115699795074761,0.39905181765556325,6.718451069832033,9.326134543323084,9.615877151489258,321.2855545009536
text,ln_1.bias,512,7,4.506212644628249e-05,0.4572775185108183,7.533183095932278,11.342458915519082,11.765711784362793,363.7782194104061
text,ln_1.bias,512,8,0.0003192378208041191,0.4842343261837956,6.441323005199615,9.003814765119127,9.288536071777344,297.7803728119187
text,ln_1.bias,512,9,0.0006406019092537463,0.5647496455907814,6.80038029432318,9.782652909039957,10.11401653289795,301.0777529471365
text,ln_1.bias,512,10,1.862853969214484e-05,0.6408122682571397,5.6374436411859,7.59613419566122,7.8137664794921875,226.96014601150085
text,ln_1.bias,512,11,0.0003584212390705943,0.7740363496541955,3.246312783956571,3.8511629985569904,3.9183685779571533,63.84441204498828
text,ln_1.weight,512,0,0.8398534059524536,2.3385475397109987,2.9463501684666036,3.4447553943871623,3.500133752822876,26.612377552242872
text,ln_1.weight,512,1,0.498923122882843,1.9863586151599877,3.7461744182110595,4.812938221621336,4.931467533111572,106.7961422181086
text,ln_1.weight,512,2,0.5703006982803345,2.0493355095386496,3.255294654369412,4.064558014631137,4.154476165771484,62.958366133156076
text,ln_1.weight,512,3,0.6145853996276855,1.9705505347251875,2.6451612708568857,3.0444021820782954,3.0887622833251953,31.73812775275266
text,ln_1.weight,512,4,0.6075092554092407,1.8422036278247829,2.5154468078613363,2.6332832004546924,2.646376132965088,16.578261673335824
text,ln_1.weight,512,5,0.6102604866027832,1.918426946401596,2.584957411527649,2.799353413844073,2.8231751918792725,32.10746231870349
text,ln_1.weight,512,6,0.6243700981140137,2.0305729126930236,2.742811623811732,2.8862195197343588,2.902153730392456,28.557679375784275
text,ln_1.weight,512,7,0.695837676525116,2.2713566064834594,2.7897670664787406,2.949403957509968,2.9671413898468018,33.91057600833101
text,ln_1.weight,512,8,0.6346421837806702,2.137877280712128,3.243616491556168,3.2483999162912363,3.248931407928467,48.19264485300059
text,ln_1.weight,512,9,0.6634546518325806,2.453385732173919,3.2693899567127516,3.6718617766618062,3.716580867767334,62.62026337389908
text,ln_1.weight,512,10,0.4739092290401459,2.468620886802673,3.528402685880675,3.727754008746114,3.749904155731201,63.81892495781971
text,ln_1.weight,512,11,0.3116787075996399,2.766260061264038,3.4893164551258113,3.5293036929368906,3.5337467193603516,41.18796141267198
text,ln_2.bias,512,0,0.0005274758441373706,1.9146784043312068,3.4815472168923325,4.746669803094654,4.8872389793396,6.71252045659809
text,ln_2.bias,512,1,0.0019417200237512589,1.7452956104278556,4.004760347366402,4.9811487279890345,5.089636325836182,10.074356291808439
text,ln_2.bias,512,2,0.001927649020217359,1.7491025757789609,2.718674027681378,3.1037318789719897,3.1465160846710205,4.080047062441657
text,ln_2.bias,512,3,0.000879162922501564,2.037038768529891,3.276949270725298,3.9460811480044207,4.0204291343688965,3.825663947392622
text,ln_2.bias,512,4,0.0013328796485438943,1.9481382560729976,3.635110492229487,3.9892212028025993,4.028566837310791,4.461585550844652
text,ln_2.bias,512,5,0.0013344116741791368,1.87233960032463,3.2922147912979627,3.994647638034704,4.072695732116699,3.737779588957026
text,ln_2.bias,512,6,0.002107360865920782,1.7093794929981228,3.14008800530437,3.610538951897543,3.662811279296875,5.063840160962467
text,ln_2.bias,512,7,0.00011292126146145165,1.8406406891345977,2.721307605028166,2.9120477765321415,2.933241128921509,4.818480159889749
text,ln_2.bias,512,8,0.0004728474305011332,1.4531624567508687,3.1229291248322104,3.92479887294756,4.013895511627197,13.171889753066932
text,ln_2.bias,512,9,1.1089839972555637e-05,0.8058310705423352,2.9028714499473884,3.3410941203593483,3.3897855281829834,20.670022532862475
text,ln_2.bias,512,10,0.0025956095196306705,1.096151863932608,2.6575266165733638,3.0809747819422975,3.1280245780944824,12.318611864330546
text,ln_2.bias,512,11,0.0010133386822417378,1.1934878778457638,2.8900411801338874,3.840293914842448,3.9458775520324707,11.501215770934996
text,ln_2.weight,512,0,0.8885384798049927,2.668676483631133,8.701956347465856,13.47641664304654,14.006912231445312,375.0286587596752
text,ln_2.weight,512,1,1.1525070667266846,2.6528296828269946,3.441817198991812,3.952978078007613,4.0097737312316895,27.771668785900868
text,ln_2.weight,512,2,1.4580196142196655,2.4507911133766176,2.8382090334892327,2.912805020856845,2.921093463897705,9.291412138160728
text,ln_2.weight,512,3,0.9723297357559204,2.35036208152771,2.582801842212679,2.6105519556522325,2.613635301589966,35.71109846004445
text,ln_2.weight,512,4,0.6494441032409668,2.350081994533539,2.615050324440018,2.831685901546442,2.8557565212249756,34.63958784931041
text,ln_2.weight,512,5,0.7375662922859192,2.4147992849349973,2.653279603481305,2.825086623525591,2.8441762924194336,22.508840297272837
text,ln_2.weight,512,6,0.8194899559020996,2.5464645171165463,2.737438500881203,2.8510220588207056,2.863642454147339,16.670211252482215
text,ln_2.weight,512,7,0.5073146224021912,2.735179922580718,2.8370188345909124,2.842327366971969,2.8429172039031982,25.376474600397387
text,ln_2.weight,512,8,0.4457627534866333,2.9833250379562375,3.227007632970813,3.2703634982824252,3.2751808166503906,24.174427569300583
text,ln_2.weight,512,9,0.2385302037000656,2.8967663717269896,3.0097622988224044,3.0314772379159893,3.0338900089263916,61.81308148497877
text,ln_2.weight,512,10,0.4955846667289734,3.1294864082336424,3.5415688438415573,3.603137907218923,3.6099789142608643,51.2043618374648
text,ln_2.weight,512,11,1.1145730018615723,2.996118071079254,3.31235980963707,3.31933248040676,3.3201072216033936,13.429155486881246
text,mlp.c_fc.bias,2048,0,0.07472303509712219,2.180239188671112,12.055880322456428,12.180282013320918,12.18518352508545,222.60992704949305
text,mlp.c_fc.bias,2048,1,0.012228413484990597,2.0336639809608457,2.3276398508548892,3.3281015204665767,3.5308125019073486,7.681386576076098
text,mlp.c_fc.bias,2048,2,0.021303974092006683,1.9323288190364836,2.270120831489568,2.843177373719153,2.898820161819458,8.407120417043142
